"Name","m/z","RT [min]","HMDB","KEGG","Super_Class","Class","Sub_Class","log2FC_Processing_1","log2FC_Processing_2","log2FC_Processing_3","log2FC_Processing_4","PC1","PC2","Strength_PC1_PC2","Rank_Strength"
"4-oxo-2E,15-hexadecendioic acid",267.19586,5.871,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.0010342372510892,0.0477213484826345,0.0477325543805544,37
"(1S,3R,6S,6aR,6bR,8S,9S,11R,11aR,12R,12aR,14R)-1-ethyl-6,8,11-trihydroxy-3-methyl-10-methylenetetradecahydro-3,6a,12-(epiethane[1,1,2]triyl)-9,11a-methanoazuleno[2,1-b]azocine 1-oxide",376.25919,6.563,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,0.00497268170756092,0.0474722038805283,0.0477319358987162,38
"Glyceryl linolenate",370.29465,8.084,"","","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives",NA,NA,NA,NA,0.0080129138405675,0.0470121622355198,0.047690147685609,39
"PC(9:0/0:0)",398.23999,6.563,"","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,0.012016940240902,0.0461225584019557,0.0476623252296321,40
"Daurichromenic Acid",369.20569,8.986,"","","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,-0.0122259593997193,-0.0460348958218976,0.0476307224024216,41
"2,6-Bis(3-methyl-2-butenyl)-4-[2-(3,5-dihydroxyphenyl)ethenyl]phenol",365.21109,8.055,"","","Phenylpropanoids and polyketides","Stilbenes","",NA,NA,NA,NA,-0.0131390955059134,0.0457793850047412,0.0476275962245192,42
"Hydroxygelsemicine",345.18103,4.546,"","","Alkaloids and derivatives","Gelsemium alkaloids","",NA,NA,NA,NA,-0.00471509990819075,-0.0473093090936951,0.047543694577378,43
"10,14,16,20-tetramethyl-22-azahexacyclo[12.10.0.0,.0,.0,.0,]tetracosane-4,5,7-triol",432.34726,6.631,"","","Unknown","","",NA,NA,NA,NA,-0.016092955456601,0.0447176562383722,0.0475252774298201,44
"11,13-Dehydrodesacetylmatricarin",261.1124,6.243,"","","Unknown","","",NA,NA,NA,NA,0.00207030178700724,0.0474774670085959,0.0475225843472511,45
"(1S,2S,3R,6R,7R,10S,11S,12S)-2-[5-(4-hydroxyphenyl)pentyl]tetracyclo[8.2.1.03,12.06,11]trideca-4,8-diene-7-carboxylic acid",379.22766,7.36,"","","Benzenoids","Benzene and substituted derivatives","",NA,NA,NA,NA,0.00226499195851597,0.0474247858687131,0.0474788426908811,46
"Dechlororoseophilin",419.27524,8.087,"","","Organic oxygen compounds","Organooxygen compounds","Ethers",NA,NA,NA,NA,0.00621656221749977,0.047048935173284,0.0474578544262583,47
"2-(2-(hydroxymethyl)-3-methoxyphenyl)-1-(1h-indol-6-yl)-7-methylbenzo[cd]indol-3(1h)-one",433.15378,8.985,"","","Organoheterocyclic compounds","Indoles and derivatives","Indoles",NA,NA,NA,NA,-0.0100106019008537,-0.046308846198789,0.0473784907598424,48
"Ceramicine E",467.21329,8.225,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","17-furanylsteroids and derivatives",NA,NA,NA,NA,-0.0165207648936487,-0.0443995811645054,0.0473736053119743,49
"Surinone B",383.25876,8.006,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.00211422937080613,-0.0473120082419224,0.047359223913786,50
"Strongylophorine-25",413.26816,8.628,"","","Organic acids and derivatives","Vinylogous acids","",NA,NA,NA,NA,0.0124652826047738,-0.0456783233351939,0.0473486271514961,51
"ferulaeone H",591.41217,8.95,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,-0.016767739276897,0.0442184189394646,0.0472908622670807,52
"Isoconulothiazole B",401.14142,8.675,"","","Benzenoids","Benzene and substituted derivatives","",NA,NA,NA,NA,0.0118924694353215,0.0457232240540879,0.0472445134081237,53
"(4ar,5s,6as,7r,10ar,11ar,11bs)-7,10a-dihydroxy-4,4,7,11b-tetramethyl-9-oxo-1h,2h,3h,4ah,5h,6h,6ah,11h,11ah-phenanthro[3,2-b]furan-5-yl acetate",391.21429,8.552,"","","Organoheterocyclic compounds","Naphthofurans","",NA,NA,NA,NA,-0.01035817710795,-0.0460370836059583,0.0471879741029603,54
"8-Amino-1-phenazineol",212.09149,3.716,"","","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines",NA,NA,NA,NA,-0.0194240152439261,-0.0429632126952329,0.0471500796742921,55
"12,17;13,17-Diepoxy-9Z-octadecenoic acid",311.23218,4.983,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.0173508629018229,-0.0437819396126543,0.0470946990614015,56
"2',8-dihydroxy-4,5-dimethyl-3-thia-5,7-diazaspiro[bicyclo[2.2.2]octane-2,3'-indol]-7-en-6-one",304.07162,5.362,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.00894957478969132,0.0462059797228598,0.0470647155634198,57
"1,3,6-trihydroxy-2-methyl-9,10-dihydroanthracene-9,10-dione",269.04544,5.413,"","","Benzenoids","Anthracenes","Anthraquinones",NA,NA,NA,NA,-0.0130622225962344,0.0451405391112864,0.0469924454610648,58
"2-(ethylamino)-2-(thiophen-2-yl)cyclohexan-1-one",224.1068,5.576,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0201955496045334,-0.0424151302934032,0.046977691531572,59
"Dihydrocineromycin B",293.17929,6.991,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,-0.00155118498938123,0.0468667520142908,0.0468924153700821,60
"Phenylmethylsulfonylfluoride",173.00792,3.558,"HMDB0256652","C06747","Benzenoids","Benzene and substituted derivatives","",NA,NA,NA,NA,0.0191115028558919,0.0427837753804659,0.0468583074514747,61
"Lauroyl diethanolamide",288.255,5.801,"HMDB0032358","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,0.0203824834630128,0.0420531233989694,0.0467323316316331,62
"Methylisatoid",309.08624,6.047,"","","Unknown","","",NA,NA,NA,NA,-0.00667853663822955,0.0462414284661589,0.046721221711542,63
"9-methyl-3-oxa-9-azatricyclo[3.3.1.0,]nonan-7-yl (2e)-2-methylbut-2-enoate",238.14119,4.772,"","","Unknown","","",NA,NA,NA,NA,0.00134811780105894,0.0466934623504769,0.0467129194964406,64
"3,4-dihydroxy-2-methyl-7-propyl-3,4-dihydro-2H-pyrano[3,2-c]pyran-5-one",241.10457,4.864,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.0208008989476235,-0.0417619615126903,0.0466555337169844,65
"1,4abeta,7alpha,8abeta-Tetramethyl-3alpha,4beta,5beta,10alpha-tetrahydroxy-6alpha,8alpha-(epoxymethano)-3,4,4a,4balpha,5,6,7,8,8a,9,10,10aalpha-dodecahydrophenanthrene-9,11-dione",365.16391,7.089,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,-0.0216241130179345,-0.0413377061518721,0.0466519904581887,66
"(2s)-2-{[(2e)-3-(3,4-dihydroxyphenyl)-1-hydroxyprop-2-en-1-ylidene]amino}-3-(4-hydroxyphenyl)propanoic acid",342.1015,5.421,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.00373851673584906,0.0464779734913494,0.0466280873213431,67
"(1r,2s,3s,5s,8s,9s,10s,11r,15s,16r)-3,9,10,15-tetrahydroxy-16-methoxy-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.1,.0,.0,]octadecan-7-one",393.19382,8.239,"","","Unknown","","",NA,NA,NA,NA,-0.0115748695327089,-0.0450940928988352,0.0465559321576532,68
"eupatorin",345.09647,5.997,"HMDB0252128","","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids",NA,NA,NA,NA,0.0230419459893485,-0.0403098838085993,0.0464307872821345,69
"PC(18:0/10:0)",678.50824,8.535,"","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,-0.0219860438390773,0.0408908999433237,0.0464268437638048,70
"(2S,3S,4R)-2-aminoicosane-1,3,4-triol",346.33102,6.719,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0157151300717253,0.0436682307825956,0.0464099094251785,71
"N-[9,10-Dihydrojasmonoyl]isoleucine",324.21738,5.645,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0183389852626673,0.0426306068584976,0.0464078336230868,72
"(1r,4s,14r)-4-methoxy-7,11,15,15-tetramethylbicyclo[12.1.0]pentadeca-2,6,10-triene-3-carboxylic acid",333.23846,5.455,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,-0.00653975731374105,0.0459420188269948,0.0464051454002956,73
"Brahucin B",505.36508,8.673,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,0.0203954653704962,0.0416526957038037,0.0463780343166113,74
"Litseacubebic Acid",171.1015,8.024,"","","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",NA,NA,NA,NA,-0.0139169952693844,-0.0442296473587879,0.0463674936006984,75
"methylamine,n,n-bis(n.-decyl)",312.36227,7.918,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,-0.0186898975463349,-0.0424100490834463,0.0463457067434818,76
"PG(P-16:0/0:0)",467.28036,7.39,"","","Lipids and lipid-like molecules","Glycerophospholipids","",NA,NA,NA,NA,0.0131504503983651,0.0444231235892284,0.0463286979646927,77
"Fusaricate I",252.15659,5.102,"","","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",NA,NA,NA,NA,-0.00802285862439981,0.0456174524187921,0.046317580093177,78
"10-methoxy-2,4a-bis(methoxymethyl)-2,6a,6b,9,9,12a-hexamethyl-1,3,4,5,6,7,8,8a,10,11,12,12b,13,14b-tetradecahydropicene",499.41479,8.689,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,0.00966300139299954,-0.0452808779042636,0.0463004481587591,79
"16-oxohexadecanoic acid",269.21246,6.986,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.00217750851814024,0.0461646550612161,0.0462159812215173,80
"5-N-acetyl-8-isopropylardeemin",495.24399,8.801,"","","Organoheterocyclic compounds","Indoles and derivatives","Pyrroloindoles",NA,NA,NA,NA,-0.018540707731986,-0.0423268731849863,0.04620954486706,81
"FAHFA 16:0/9O(FA 14:0)",481.42612,9.138,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.0129691723797002,0.044335485553861,0.0461934487942933,82
"(3R,5R)-3,5-Dihydroxy-7-[(1S,2S,6R,8aR)-2,6-dimethyl-1,2,6,7,8,8a-hexahydronaphthalene-1-yl]heptanoic acid methyl ester",335.2229,6.407,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0168454213778636,0.0430000829445167,0.04618198084354,83
"2-(2-methylpropyl)dec-2-enimidic acid",226.21674,4.506,"","","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids",NA,NA,NA,NA,-0.019899831965697,-0.0416009054428612,0.0461154924719324,84
"Genistein",269.04565,5.084,"HMDB0003217","C06563","Phenylpropanoids and polyketides","Isoflavonoids","Isoflav-2-enes",NA,NA,NA,NA,-0.00921441288525076,-0.0450863133450929,0.0460182687187575,85
"Cer(t18:0/24:0(2OH))",682.63367,8.459,"","","Lipids and lipid-like molecules","Sphingolipids","Ceramides",NA,NA,NA,NA,0.00415758496019106,-0.0457952214349408,0.0459835603120993,86
"(1s,2r,3r,5s,9s,10s,11s,12s,13r)-2,3,11,12-tetrahydroxy-2,11-dimethyl-6-methylidene-8,14-dioxatetracyclo[8.4.0.0,.0,]tetradecan-7-one",313.12582,5.118,"","","Unknown","","",NA,NA,NA,NA,0.0199242828186817,0.0414347513736025,0.0459762511219768,87
"8(S)-Amino-2(R)-Methyl-7-Oxononanoic Acid",200.12958,4.43,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.00625902451947431,0.0455470407634375,0.0459750835805833,88
"Penicolinate A",411.22842,7.68,"","","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",NA,NA,NA,NA,0.0256552378023898,0.038123082352188,0.0459517206938856,89
"3beta-Hydroxy-(22E,24R)-ergosta-5,8,22-trien-7-one",411.32617,8.41,"HMDB0032106","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Ergostane steroids",NA,NA,NA,NA,0.0232309243979461,0.0395695242933675,0.045884889682623,90
"Benzofuran",119.04903,4.736,"HMDB0032929","C14512","Organoheterocyclic compounds","Benzofurans","",NA,NA,NA,NA,-0.00730767627778553,-0.0451918771281219,0.0457789022470415,91
"[(1R,2R,3R,4R,7S,10R,11R,14S)-2,3,10-triacetyloxy-4,14,15,15-tetramethyl-8-methylidene-13-oxo-7-tetracyclo[9.3.1.01,9.04,9]pentadecanyl] (E)-3-phenylprop-2-enoate",607.28979,9.059,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,0.0205101722945258,0.0409044421528357,0.0457585025474591,92
"8-(3,3-dimethyloxiran-2-yl)-8-methoxy-4,6,12,17,17-pentamethyl-9-oxahexacyclo[11.9.0.0,.0,.0,.0,]docosan-18-one",485.35925,8.451,"","","Unknown","","",NA,NA,NA,NA,0.00779892188441241,0.0450349625047133,0.0457052626112147,93
"methyl 3-methyl-7,10-dioxo-11-(prop-1-en-2-yl)-6,16-dioxatricyclo[11.2.1.1,]heptadeca-1(15),2,8(17),13-tetraene-14-carboxylate",369.1373,7.541,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,0.0232982047120491,0.0393169364968776,0.0457015080528428,94
"cis-p-Coumaroylagmatine",275.14978,8.984,"HMDB0033460","C04498","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives",NA,NA,NA,NA,-0.015299155239971,-0.0430548044325606,0.045692234961564,95
"Nk154183A",771.48315,9.249,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,0.0168509073143459,0.042469930259731,0.045690787403842,96
"1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-3,7,10-trioxapentacyclo[6.4.1.1,.0,.0,]tetradecane-6,11-dione",309.10046,5.924,"","","Unknown","","",NA,NA,NA,NA,-0.0227924059026451,-0.0395969950035887,0.0456882455358614,97
"CHOLATE",373.27429,5.822,"HMDB0000619","C00695","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives",NA,NA,NA,NA,-0.0210376213327353,0.0405479224806,0.0456805815290513,98
"Napyradiomycin 2",439.18161,8.139,"","","Organoheterocyclic compounds","Naphthopyrans","Naphthopyranones",NA,NA,NA,NA,-0.0162323052168931,-0.0426596046111763,0.0456435055428071,99
"4,5-dihydroxy-n-(2-methylpropyl)oct-2-enimidic acid",230.17464,5.101,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,0.00953713294207302,0.0446273418066456,0.045635036337029,100
"PC(16:0/0:0)",496.35074,7.523,"HMDB0010382","C04230","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,-0.015865060149329,0.0427024560409526,0.0455543618709703,101
"3-(hydroxymethyl)-5-methyl-octahydroindolizine-1,2-diol",202.14398,4.429,"","","Organoheterocyclic compounds","Indolizidines","",NA,NA,NA,NA,0.00963404192826772,0.0444789997729409,0.0455103964460529,102
"2-(2-Methoxyphenyl)Ethanamine",152.10707,7.955,"","","Benzenoids","Benzene and substituted derivatives","Phenethylamines",NA,NA,NA,NA,0.017620247970904,0.0419247293930791,0.0454769839945336,103
"6-Methoxyluteolin",315.05002,5.749,"","","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids",NA,NA,NA,NA,0.0188351094447875,0.0413872501663939,0.0454715935957032,104
"(4R,5S)-5-hydroxyhexan-4-olide",129.05588,3.982,"","","Organoheterocyclic compounds","Lactones","Gamma butyrolactones",NA,NA,NA,NA,-0.0216991965017694,0.0399292750580547,0.0454444951064943,105
"hexahydro-1h-pyrrolizin-1-ylmethyl 2-methylbutanoate",226.17993,5.42,"","","Organoheterocyclic compounds","Pyrrolizidines","",NA,NA,NA,NA,0.0234756627562021,0.0388567758947949,0.0453977507678656,106
"butyl tetradecane-6-sulfonate",333.25507,8.986,"","","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives",NA,NA,NA,NA,-0.00752111537485253,-0.0447645118155853,0.0453919452609108,107
"3beta,14beta,20-trihydroxypregn-5-ene-18-oic-(18-20)-lactone",347.2012,7.188,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones",NA,NA,NA,NA,-0.0171109621340323,0.0419627988726148,0.0453173423136861,108
"Marinopyrazinone B",357.26022,7.605,"","","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA,NA,0.0141597976456636,0.0430226392999153,0.0452929063065814,109
"Schiffnerone A",249.14996,7.132,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0274336806171101,0.0360017300006358,0.0452629141266918,110
"(R)-7-((3R,5S,7Ar)-5-Propyl-Hexahydro-Pyrrolizin-3-Yl)-Heptan-2-Ol",268.26349,6.124,"","","Organoheterocyclic compounds","Pyrrolizidines","",NA,NA,NA,NA,-0.0201545621229984,0.0405155981187947,0.0452517410194733,111
"3-Hydroxyglabrol",407.18906,8.159,"HMDB0029532","","Phenylpropanoids and polyketides","Flavonoids","Flavans",NA,NA,NA,NA,0.0122012558598263,0.0435629479555258,0.0452393753176676,112
"OMEGA-HYDROXYDODECANOATE",181.15863,8.056,"HMDB0002059","C08317","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",NA,NA,NA,NA,-0.0218698341383115,0.0395622947213608,0.0452046989687695,113
"(3aR)-2,10beta,11,11-Tetramethyl-3-oxo-10abeta-hydroxy-5-hydroxymethyl-8beta-(decanoyloxy)-9alpha-(tiglyloxy)-7,8-methano-3,3abeta,4,6aalpha,7beta,8,9,10,10a,10bbeta-decahydrobenzo[e]azulene",585.37311,3.504,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,-0.0120367860623715,-0.0435599499043864,0.045192404830723,114
"1-[(aziridin-1-yl)[(4-methylphenyl)amino]phosphoroso]aziridine",236.09657,5.27,"","","Benzenoids","Benzene and substituted derivatives","Toluenes",NA,NA,NA,NA,0.0229189285232051,0.0389422250693152,0.0451859953746842,115
"Asenjonamide A",240.16029,5.258,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,-0.00937573852813037,0.0441615527085456,0.0451458437796606,116
"Trisindoline",364.14487,7.338,"","","Organoheterocyclic compounds","Indoles and derivatives","Indoles",NA,NA,NA,NA,0.0110493810311289,0.0437542125354331,0.0451278177598577,117
"(+)-robillapyrone",353.2005,6.234,"","","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives",NA,NA,NA,NA,0.0149566363521148,0.0425731816463161,0.0451240154070937,118
"N-Demethyloxysanguinarine",332.05688,7.105,"","","Organoheterocyclic compounds","Quinolines and derivatives","Benzoquinolines",NA,NA,NA,NA,-0.0137188346527515,-0.0429296153634367,0.045068373605913,119
"Ripromycin",523.27533,8.126,"","","Unknown","","",NA,NA,NA,NA,-0.0228389278425994,0.0388429337549933,0.04505985050679,120
