Name,m/z,RT [min],HMDB,KEGG,Super_Class,Class,Sub_Class,log2FC_Processing_1,log2FC_Processing_2,log2FC_Processing_3,log2FC_Processing_4,YS0_F-1,YS0_F-2,YS0_F-3,YS25_F-1,YS25_F-2,YS25_F-3,YS50_F-1,YS50_F-2,YS50_F-3,YS75_F-1,YS75_F-2,YS75_F-3,YS100_F-1,YS100_F-2,YS100_F-3
3-methoxy-5h-furan-2-one,113.0246,0.623,,,Organoheterocyclic compounds,Dihydrofurans,Furanones,,,,,6060101.945933385,5598313.704489572,5854553.375577043,2039109.5867775017,2094990.8705510967,2454276.5436714008,955926.3779332647,1169299.5135784459,1116871.0724882893,1469895.2249288538,1106826.8558873076,1338553.1421838384,634127.2151801785,599600.5722913372,720197.6336284844
ethyl 2-oxopropanoate,115.04002,0.28,HMDB0031643,,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,,,,,770350.2999894785,709783.5305254614,753600.5708850599,740812.3521912785,700248.5168394197,747099.4631693015,789832.6271074422,793366.4331258782,732457.6302666797,641750.2762622082,718056.5717479765,737343.4120898148,625007.775411897,706928.58638007,878850.2692080326
5-oxo-pentanoic acid,115.04002,1.223,HMDB0012233,C03273,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,359562.71506698267,352027.540686098,353870.2052469193,432886.5420702857,423345.6525309679,373770.78199874645,365960.1737155852,341417.5626821677,404117.6337022471,337698.90001791785,368082.9866407798,397767.66244130227,385226.6579387775,338370.44061495963,342196.8871462627
Erythronolactone,117.01929,1.076,,,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,,,,,2542651.4010244054,2655061.5890935804,2606381.4158820147,812237.7723694124,760820.2273578615,876157.0413727263,1308483.4338834211,1320748.3414472183,1403070.8556693613,948697.2242324289,936892.9948676997,867904.2952998711,1246140.9132182307,1481341.2193522798,971228.7484294898
Erythrose,119.03497,0.621,HMDB0002649,C01796,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,5220801.6274107415,5446670.853575882,5331830.315013376,1957894.9524999955,1708791.4601874326,1672363.232312572,363430.958386366,391048.9082605249,326197.89185310923,671996.8338494027,609101.7414793624,643485.272571235,104795.9682619495,91699.39688487697,90026.58504317355
P-Toluquinone,121.02958,4.084,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,4862393.086347804,5230445.224059079,5230671.309593118,5217799.425957477,4724413.74140196,5411666.565640564,6172039.0391628165,6179538.227107404,5548105.622729783,4108548.639097262,4026516.223000131,4155525.8419026067,5775179.733661614,5850380.956498406,5516141.316839978
TAURINE,124.00721,0.61,HMDB0000251,C00245,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,,,,,86020.11506619422,91249.12625406995,86238.9996697358,259832.5538790976,354862.6690634539,282995.7772574486,37402.11140803698,37068.46869653632,40700.7487754267,160015.5085199067,210862.53738857943,164527.93829151394,95485.63303250071,78604.72681887368,87124.13039862562
6-Methyl-6-hepten-2-one,125.09732,4.053,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,151675.67018642632,165879.81920989277,147304.65090368094,268910.8306596376,277367.2613117163,286366.39162864606,161012.07736583188,170908.21729021097,143376.0611439571,187686.80190184075,182335.5648528373,187144.3880453219,120158.06037040215,95822.25899721963,101771.98293237819
Carboxycyclohexane,127.0765,4.409,HMDB0031342,C09822,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,,,,,512687.66966953385,613922.5256112023,580656.0856192637,357484.16136370396,321846.63486288884,340183.7638734072,773927.8995690886,866949.2311751525,918256.7142557586,308245.00815477566,319966.18389334396,328346.55965188047,464907.6745808277,373368.37306210824,359902.7333570641
L-Pyroglutamic acid,128.03537,0.955,HMDB0000267,C01879,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,4776755.661700792,4954005.159888361,4759601.395410848,2806540.3080643723,2874495.402629987,2863306.90130564,7247815.723380594,6315214.058231997,6882177.611387414,4413535.671749844,5518584.863335693,5158863.071914463,4040478.9931688425,3959759.6225856175,3990307.1872455385
5-hydroxy-4-methoxy-5h-furan-2-one,129.01936,3.494,,,Organoheterocyclic compounds,Dihydrofurans,Furanones,,,,,1017246.9449071831,1043768.5065798552,1022445.0135129615,843790.3802701031,636581.2173313221,676808.4494985744,721725.932336789,697275.6586452882,709197.9689179223,756042.5625114212,721426.1209973678,667539.6270912112,675156.8482027536,661165.9532410013,601973.2355562453
"(4r)-4-hydroxy-5,5-dimethyloxolan-2-one",129.05586,3.733,,,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,,,,,1189401.96175159,1174532.904768485,1247037.5974799239,869178.5172513673,954134.4215583348,991643.2334902975,924613.402514797,807945.2510439191,897239.6541412837,505912.6333387688,419285.1467462526,493334.2025149786,629844.075902747,628002.0137056077,591629.7606916451
"(4R,5S)-5-hydroxyhexan-4-olide",129.05588,3.982,,,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,,,,,2756982.470226829,3001295.5913079167,2863669.618465254,2216074.798546543,2624359.608736052,2355042.999717403,776370.1363181848,789408.6750279898,802728.6685538252,860863.9222757097,934362.2680919,841437.2168323902,585077.6521238341,590456.4712733272,461466.61230283865
N-Acetylalanine,130.05113,0.666,HMDB0000766,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,93852.51363198039,106357.75492385554,104810.0595441641,159664.65660434577,138186.4595153196,151394.93318033463,118130.60622554716,133329.92705885385,142928.671015599,48893.958012009934,50727.97447698706,50113.298641003035,99411.65021280169,94392.94137793886,110132.04260925949
Glutarate,131.03505,0.619,,,,,,,,,,1904326.5402048163,1477511.2199271384,1707561.0738680451,789776.649611719,820483.5015911697,758017.6846971116,459644.05154753634,601335.2905187128,501326.4354337507,600132.6329681149,686136.3744152937,688075.6551165909,367273.5128713135,363229.2040829322,377482.1059457543
Glutaric acid,131.03506,1.43,HMDB0000661,C00489,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,,,,,283076.7235580169,291408.4796244946,298592.0129174884,322869.8451965927,297387.78735707083,289390.2558463364,258132.04461483768,280061.1578934711,295716.60339169134,270773.26927121344,286489.0603551409,331126.05907364556,281140.7318068651,339277.0936088382,309463.35118429665
Rhodinose,131.07153,4.04,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,671687.6624419766,633435.3170795268,664570.1388784966,652333.2782004373,676874.4044647753,579041.0788347875,630908.1838068017,576707.5556259515,618562.494267247,635414.2724215911,648580.4511836962,663171.9647947125,669606.6772879931,669053.5762177292,624877.8155942779
Aspartic Acid,132.03004,0.597,,,,,,,,,,273227.70809904387,228999.13746551,318435.6206354461,172291.44355916028,187145.47625958602,193825.88488125367,100650.36285904328,99465.3662118396,101490.23782911716,199473.957381851,202445.85696712905,225342.23325101996,220127.90198804406,224720.23747219835,202253.64133975757
Malate,132.99193,4.633,HMDB0000156,C00711,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,,,,,388755.11116468726,370873.62906290224,387493.4967724105,393859.2327625836,375993.97163370356,435099.041703713,381704.39392103744,340576.6908025009,424428.05827646155,445213.7703609514,350965.6739617775,346820.6288772711,369327.4112193556,413862.9489924541,484738.6760881904
"(R)-2,3-Dihydroxy-3-Methylbutanoate",133.05093,0.965,HMDB0012141,C04272,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,84312.32565569258,64531.610814878855,74783.39426942858,89388.50471100374,78747.41695412355,80393.01635487274,110136.36018509064,100817.59898476362,112831.31673014576,74386.99562469925,67969.81869819442,80630.85242710635,78711.19492753805,78414.43900021423,92822.5864222477
1-(2-Hydroxyphenyl)Ethanone,135.04535,4.288,HMDB0032568,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,308285.1384801171,391511.97570199746,360919.59051788534,312405.26454750675,318852.0888500176,315441.10290247574,371890.97208036133,391059.4780903411,432795.5603292975,328366.4282442777,334276.3899052365,442278.20855048584,415715.8045227841,364472.8218917637,376639.0119854522
Salicylic acid,137.02428,3.864,HMDB0001895,C00805,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,317152.5147703121,277962.546260598,305603.20556908974,182530.9465966283,200254.00102247988,175225.91988089192,174159.5121791867,172893.94170597306,157057.21701484016,303557.11439474457,338348.6189519776,295898.221553278,196693.40336980982,182465.5198330069,183090.64099718322
urocanic acid,137.0358,0.987,HMDB0000301,C00785,Organoheterocyclic compounds,Azoles,Imidazoles,,,,,44311.58041321649,43758.332832633976,43365.13689414955,38048.628995227664,38173.51644078442,34511.01167398792,219022.84096598075,229563.90598633,248402.31134768933,49624.11786523401,45288.662711994744,49588.055052771226,228151.67218237073,178611.22957377505,200146.61634385423
4-NITROPHENOL,138.01982,4.963,HMDB0001232,C00870,Benzenoids,Phenols,Nitrophenols,,,,,5872027.5752618,5148943.876504156,4860102.913234043,6073936.460699146,5957136.258903831,5665478.078397024,4898930.9092083415,5235972.129604434,5648732.3971872255,3119679.537084045,3715726.5805883873,3383751.933327568,6048651.800441919,5472230.257638015,7504996.570920066
Ethyl hydrogen fumarate,143.03491,0.606,HMDB0040207,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,,,,,2669511.3378625065,3424062.8395687575,3320878.2885687365,1212306.944290634,1139235.7830267516,1030637.9946826142,691308.7320994196,598072.7525906862,599491.6082098944,739162.4643883791,704893.6072921453,842071.6239194756,356790.95191214135,315811.636133027,293495.72585483163
4-Hydroxyquinoline,144.04547,4.685,HMDB0246466,C06343,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,,,,,1205140.3027975361,1182884.222042404,1193591.3281600596,750911.3846338799,831714.1895008226,792528.5230652979,666437.0564349942,684824.0999448146,707849.5366201912,687500.8869012111,743641.4083858309,660615.8491129577,490293.8743876154,492940.86587530706,467345.5298370774
Oxyquinoline,144.04547,3.228,,C19434,Organoheterocyclic compounds,Quinolines and derivatives,8-hydroxyquinolines,,,,,66913.97448244727,70824.63034772659,66881.14956982614,4689.954803704035,5520.224785912336,5371.445551383632,188209.48566499518,231338.33465197915,198997.0600830257,4415.295269929573,4587.007372553763,4867.843894516663,9687.113437804584,10793.642758299704,10049.20790389571
ADIPIC ACID,145.05052,3.252,HMDB0000448,C06104,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,170928.8162609313,138287.63376535167,145969.51317371702,179272.20455441182,152153.15533975407,158882.07460583406,475185.531650833,493611.4237604677,534073.601788699,162368.7252334106,147732.05552974253,155013.70643684684,173289.93098317695,174311.17558708828,155372.38582973473
2-hydroxy enanthoic acid,145.0872,4.788,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,428264.0451865902,401658.0439712133,421541.26894219645,497098.6160129,440683.227588093,406963.33839900704,586351.3810173264,804872.5173203837,773468.5150622902,311163.3744033649,313401.4059058278,292460.4212908073,393644.52038617776,375133.2502709518,287170.8735428705
trans-Cinnamic acid,147.04541,4.676,HMDB0000930,C00423,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,,,,,163392.05846917484,144677.9924333076,142084.9254975176,6699.860216259266,6124.139166729762,6784.868166010971,154144.54641075642,186736.18914300637,155313.38294623725,24004.30241615742,20371.460603808737,22257.755050033855,2196.734791464818,2034.1508505227255,1958.2312380124565
p-Formylbenzoic acid,149.02426,4.211,,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,171380.65441307685,168789.06105546994,166581.8686314531,165043.9442389719,152978.71726271368,169203.06319831443,147579.31045043605,171900.7027311883,182914.37901837568,143718.4887379989,162681.67360818124,185611.67655381982,156049.76659235844,173231.9874662424,153405.81544139914
"4-hydroxybenzene-1,3-dicarbaldehyde",149.04837,3.636,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,113175.54644872014,128541.33624100362,119003.63901027624,123460.18148360545,141704.24400581198,139849.9271105825,126246.02400542461,152009.5875839376,143691.0509106379,117534.61747581,123008.50802643687,135068.98129775314,134980.96342610288,149309.81562663187,126240.17274726523
2-(furan-2-yl)-3-methylbut-2-enal,149.06079,5.289,,,Organoheterocyclic compounds,Heteroaromatic compounds,,,,,,143071.65790194386,119693.83829083035,141914.75030722577,60343.65838675697,57291.94983637112,61242.79626687192,66864.81600515383,69308.77099383507,56981.600501011075,66611.97627571457,69294.76225083633,70088.39746344907,124188.6769785722,100745.0344464601,117721.84707496772
4-phenylbutan-2-ol,149.0985,7.906,,,Benzenoids,Benzene and substituted derivatives,,,,,,1940769.8287825887,2095802.8310751233,2436098.9731422896,2913740.2640140816,2352672.9987949166,2787273.193191001,2978164.273162363,3054771.4601989686,3127151.568638668,2527074.957083345,2420447.5855584717,2565405.5973581825,2930287.4800893753,2464498.5415514484,2446892.369359175
"3H-1,3-Benzothiazol-2-One",149.99474,4.774,,,Organoheterocyclic compounds,Benzothiazoles,,,,,,3318472.922082184,2851978.5380077926,3354020.905910024,3106906.8955802713,3596694.6644933023,2901706.6519264253,2762844.5472334637,3366642.4785894044,3520548.654177133,3002792.936292361,2862369.4151322837,3280834.706575356,3299614.322431546,3265517.9810123765,3299690.461556078
XANTHINE,151.02605,0.953,HMDB0000292,C00385,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,,,,,238423.54521737216,242852.56096477632,242679.15531785146,766759.5740874084,924477.0531261287,857391.6851864633,111728.06667019517,110655.69759531207,114484.59473449278,221896.33366343591,232384.0491442719,194620.1922922921,112973.90522629696,92156.09602387476,98892.90964982829
4-hydroxy-2-methylbenzoic acid,151.04001,5.424,,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,625732.279242242,642367.6365618778,553516.5250958801,895899.224557842,884124.4357854202,871034.6558567374,859128.4658662421,806373.43304998,915732.2434837779,630644.0174710837,703273.8708750188,718860.2162538975,539429.4808702732,593989.635993893,560540.171735834
Xylit,151.06116,0.325,HMDB0002917,C00379,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,604318.1908869261,662277.5727932047,734937.7068198693,661156.1787835014,693835.8028389589,619950.6189775398,604677.2262411547,764321.0060514117,708764.3598074336,706379.006224689,696084.9455820103,758610.7231933005,741184.9710357367,728973.0142869625,604602.4407773011
"2,3-dihydroxybenzamide",152.0354,5.529,,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,3502792.68651704,3356553.541928367,3501370.053554593,1454033.525827648,1338844.2484652272,1302738.5277071244,1814060.1405395307,1865124.537870308,1757379.942590161,1552210.1743791127,1341679.392893979,1527482.727726908,1692003.2300497429,2087250.6006349653,2115773.6643152917
Isopatulin,153.02258,3.362,,,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,,,,,358965.10506480886,305808.73096736276,365828.7528678285,391595.6155018979,395055.08770959446,455549.3322885074,389274.27633443236,347578.3661720431,393842.4335935244,306207.35230979475,331493.64898801915,328908.13310218597,441504.4860212477,454492.14843252354,390064.1939462287
Allantoin,157.03677,0.604,HMDB0000462,C01551,Organoheterocyclic compounds,Azoles,Imidazoles,,,,,2874264.8654100965,2516990.849461824,2738047.5561280795,359918.02240780136,402803.6474351532,323820.3128570455,198556.9642733143,249133.09256992902,196796.3227567566,355883.2489757437,317926.82421449106,335714.5862097652,359336.84055342723,353354.3812788281,338734.2644677446
2-amino-4-(c-hydroxycarbonimidoyl)pent-4-enoic acid,157.06207,0.603,,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,2139525.8261099327,2046295.7561586958,1920056.118731372,119178.20452660324,147013.72072719727,138225.87164619943,41176.51821581471,40442.849723634,44914.56018055131,175566.98918009407,167600.3990274051,166731.45659250076,165167.16365783062,152639.3551328912,165854.38300927816
Calystegine A7,158.08258,3.891,HMDB0036384,,Alkaloids and derivatives,Tropane alkaloids,,,,,,191212.20690197434,202926.75319411175,189365.18260391394,211913.46609620468,197216.9809568021,221478.1008469932,272161.0880072626,248520.7497755937,263878.67611714365,125817.36180320907,108459.50018093939,104624.87151585153,178527.01844135372,196011.35922768357,186149.50413096268
Dihydro-3-hydroxy-3-(1-hydroxyethyl)-4-methylfuran-2(3H)-one,159.06601,0.374,,,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,,,,,138596.3995803421,149415.15576095498,127190.18255870296,141436.54475179256,146598.5346092591,125966.05733894836,146489.13252601397,140684.9726886945,142715.2882852915,143997.92925877526,117923.33390664197,136874.57813458276,98544.51947892661,96837.86182676247,99865.6832543109
6-CARBOXYHEXANOATE,159.06607,4.041,HMDB0000857,C02656,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,153625.51248618364,144088.16311578508,178420.57119803128,153840.64827410583,148685.81510632136,163664.94371957285,289364.72174630465,341675.64827629196,355588.7180774034,152821.2369958749,129763.20066109057,140982.97124303458,152280.35347863223,158918.7428120877,141959.70030928013
2R-hydroxy-octanoic acid,159.10277,5.273,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,234533.6175885032,223322.79642070917,222368.04519078755,221546.9481279687,197298.6759873356,230029.97598469563,232904.7586188669,209953.110947094,195080.04733403903,197244.4708621337,217216.68419321126,188179.41284465513,188717.09267275754,187379.3830528815,179939.942074361
Phosphoroselenoic acid,160.91234,0.675,HMDB0003840,C05172,Mixed metal/non-metal compounds,Other mixed metal/non-metal oxoanionic compounds,Non-metal selenophosphates,,,,,848709.699786589,770925.4715694397,887729.7190439715,867148.6914671886,810524.0142409794,852489.1189918317,967085.470402759,834666.1939479071,918357.721749334,845070.1681253226,850765.2123947988,994359.4251798788,894909.3828785206,989365.6082051022,1037497.5939163772
3-Hydroxy-3-methylglutarate,161.02449,4.672,HMDB0000355,C03761,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,79300.03058068802,102668.43619145833,82175.37470785364,3863.253511345239,3560.6184409220277,4041.2896227327337,5737.362672320555,5464.489525626717,5403.955705052728,4759.075112407045,5448.989009812927,4872.841551780025,87236.72521970968,85698.43861330835,100999.84691698193
D-TAGATOSE,161.04533,0.623,HMDB0003418,C00795,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,7079917.960530025,6011303.406057262,6783860.470412712,2846858.819019613,3145732.130431053,3180422.806549334,1804185.2587036663,1779667.7876993658,1926684.9955969683,1666092.2773273767,2049897.3171471243,2027874.155525499,1048668.8659485362,1153058.7886761301,1153217.0333753335
"2-Hydroxycinnamic acid, predominantly trans",163.03995,4.234,,,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,,,,,872360.429943845,745637.805977797,838908.302078358,468176.95309016726,478023.33366031,514204.0887495228,219477.64432491784,256920.92825303267,204437.57882204943,213301.3801929298,239673.67150958243,210570.68519748774,156320.47704737398,182733.94621680464,193486.32393582142
5-Pyridoxolactone,164.03537,3.941,HMDB0004291,C06052,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,,,,,18761.83450290525,18430.434413293144,16740.319913801617,26820.505957787875,25542.791674075826,25357.67884813631,57791.02561485973,72116.88817960877,75063.87542553151,15764.14741373113,17992.642520912308,14786.397595356559,24872.359894681776,23646.56349766942,23086.1960876488
6-formylsalicylic acid,165.01961,8.916,,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,2019234.5040552164,1915108.7020699936,1956427.7058747895,1657178.3077554542,1521258.897885609,1674131.839358936,1454291.1306966285,1637982.3941076742,1678475.458195698,1520613.5200403,1987830.5791668927,1896226.243792808,1583222.7520068986,1526255.417300784,1552914.5666923174
4-Methoxyphenylacetic Acid,165.05585,4.142,HMDB0002072,,Benzenoids,Phenol ethers,Anisoles,,,,,45316.797990048144,48283.913910996074,37324.09814895577,38304.05606483968,34449.56463477814,40987.62249038221,29080.623938815883,27814.341676028158,37825.38654515595,37870.0249420141,36585.58333679178,42210.637191194095,29709.934719762186,37628.941150322695,35209.793799915096
D-4-Hydroxyphenylglycine,166.05115,5.999,,C03493,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,966068.4237110242,889017.967625422,1004160.859063554,406594.346692522,435470.8561843614,419925.3868231168,465977.6773195832,482354.5657310877,491105.5563493292,349605.396433822,449091.63988203247,433807.41648414556,576153.9357527916,513541.196128554,590433.2933186543
Myrothenone A,166.05118,5.814,,,,,,,,,,1648600.3799311956,1956394.3850824903,1768317.9879863134,675680.7532995007,642056.8864744965,809124.7442260028,930127.0745450245,956985.4854536323,960646.9251013432,816920.4882246744,878750.8594986867,850964.1183766386,1057392.3022870182,984261.5093917733,851332.1617212084
"3-(1-aminoethylidene)-6-methyl-2H-pyran-2,4(3H)-dione",166.05125,5.894,,,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,,,,,862195.4154249298,849487.5545282848,986959.6512467854,447659.9343420629,343118.40765348065,442193.1484044563,539623.0829545156,502123.7228431768,574766.9407023077,508018.091292154,587977.0300422816,484249.34996556427,574147.5034434984,642944.942220246,616779.6555362554
vanillic acid,167.03488,4.476,HMDB0000484,C06672,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,62328.21570995237,52803.833990840336,55379.78972920728,48190.817014887696,50051.3021210484,53437.6818440639,47805.13311602645,53411.28921104607,48183.02951292748,230736.38286879353,222070.4865858796,243897.83624532688,41804.49823843744,48559.872266143786,48802.004715418785
p-nitrobenzoate,168.03384,0.647,,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,24657810.646721467,22978607.61988861,23645218.173389923,3469298.7747264076,3811607.419932799,3846294.3373407954,3558898.031107544,3455817.3514837716,3211004.6344086844,6035575.128289095,5758883.7561033005,6352885.758607606,7497292.828284863,7059566.534485653,7730609.246229483
FA 9:2+1O,169.08672,5.68,,,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,,,,,236836.95237391943,207551.60134896103,228022.46217711945,185332.22549788372,139821.62427730273,164835.55982481356,292951.3825303908,305125.24504740274,296478.99432220653,137453.15773151396,149048.40969135135,148032.58987713465,160808.91156563465,144198.32325863387,129263.21767573152
4-Bromophenol,170.94151,0.506,HMDB0062397,C14453,Benzenoids,Phenols,Halophenols,,,,,1925369.950458703,1852414.8123225968,1810016.2962186988,1960311.249535652,2014886.0526097459,1960582.6068546015,2540466.89042852,2403250.276278797,2326583.825292683,3304026.017992661,3699719.2950442666,3526138.025963072,2122409.6178120696,2075837.6413958909,2108731.3917920403
2-Propan-2-Ylidenepentanedioic Acid,171.06631,4.408,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,4952458.245144904,4775692.919020897,4415674.131834199,2603010.89531638,2982204.567508671,2836978.5311749503,6362206.600073447,7056790.57685683,7473742.9200697215,2648130.1921275742,2661996.2337873904,2979711.9870850346,3552981.8541488643,3256643.876025991,3048706.777825144
