"node","module","degree","betweenness","is_hub"
"1-{[(s)-(1e)-prop-1-ene-1-sulfinyl]sulfanyl}butane","3",166,2499,FALSE
"4-O-Methylphloracetophenone","2",98,3709,FALSE
"2-Propan-2-Ylidenepentanedioic Acid","2",117,1403.5,FALSE
"4-NITROPHENOL","6",31,47,FALSE
"2-(4-methylfuran-2-yl)cyclohexa-2,5-diene-1,4-dione","6",73,2413.5,FALSE
"2-chloro-1,3-dimethoxy-5-methylbenzene","1",131,3681.5,FALSE
"3-hydroxy-decanoic acid","1",168,2521.46666666667,FALSE
"2h-[1,3]dioxolo[4,5-g]chromen-8-one","3",167,732.5,FALSE
"Catechol","1",12,0,FALSE
"3-Hydroxyjuglone","3",68,246,FALSE
"Veratramide","2",123,1467,FALSE
"3-Formylcarbazole","3",136,1800.5,FALSE
"3,4-Dimethoxybenzamide","2",108,1430,FALSE
"Allantoin","7",73,1207,FALSE
"D-Mannose","1",151,1743.6,FALSE
"GLUCONIC ACID","1",160,547,FALSE
"2-Chloro-L-phenylalanine-IS","1",165,1656.08333333333,FALSE
"Galacturonic acid","2",41,1445,FALSE
"P-Toluquinone","1",51,1086.5,FALSE
"ethyl 9-oxononanoate","1",163,1161,FALSE
"3-chloro-4-hydroxyphenylacetamide","7",81,378,FALSE
"2,4-dichlorobenzoic acid","7",67,1678.5,FALSE
"(+) (1R*, 2R*, 4R*)-trihydroxy-p-menth-3-ene","7",119,3443.5,FALSE
"10-hydroxy-8E-Decene-2,4,6-triynoic acid","4",60,756,FALSE
"p-Cresol sulfate","2",81,2520,FALSE
"7-hydroxy-4,6-dimethyl-3h-2-benzofuran-1-one","1",115,2364,FALSE
"2,8-dihydroxyquinoline-4-carboxylic acid","7",96,817.5,FALSE
"Methyl (E)-3-(1,3-Benzodioxol-5-Yl)Prop-2-Enoate","4",70,6199.66666666667,FALSE
"6H-benzo[c]chromen-6-one","3",126,311,FALSE
"D-Mannitol","5",105,1139.5,FALSE
"4-Hydroxy-3-methoxycinnamic acid","5",81,220,FALSE
"Isopatulin","6",29,0,FALSE
"1,5-Secovibralactone","7",72,3412,FALSE
"Doryanine","1",148,1988.83333333333,FALSE
"4-Hydroxybutanoic acid","5",24,942,FALSE
"GEIR-1","5",110,2470.33333333333,FALSE
"1H-Pyrido[3,4-b]indole-1,3 4(2H,9H)-trione","1",164,2237,FALSE
"N-acetylphenylalanine","7",94,2145.5,FALSE
"3-Hydroxybenzo[C]Chromen-6-One","3",83,617,FALSE
"Olivetolic Acid","3",91,261,FALSE
"8E-Hydroxy-4,8-dimethyl-4,9-decadienal","3",39,55,FALSE
"Peniamidone A","3",146,2705.5,FALSE
"Rubramin","1",54,341,FALSE
"2-Hydroxyanthraquinone","1",57,347.5,FALSE
"Rubralide A","5",43,806,FALSE
"1-Hydroxy-3-methylxanthone","3",133,1068,FALSE
"Flonicamid","3",157,1280.83333333333,FALSE
"Avicequinone B","2",118,472,FALSE
"alaguignardic acid","3",143,966.5,FALSE
"1,3-dihydroxypropan-2-yl 3-(4-hydroxyphenyl)prop-2-enoate","3",140,2292,FALSE
"Asperitaconic acid C","2",126,1815,FALSE
"1-[(aziridin-1-yl)[(4-methylphenyl)amino]phosphoroso]aziridine","2",87,1005,FALSE
"Acremine S","2",101,331,FALSE
"3,8-dihydroxy-6H-benzo[c]chromen-6-one","1",163,3193.66666666667,FALSE
"6-(2h-1,3-benzodioxol-5-yl)-4-methylpyran-2-one","7",114,1650,FALSE
"4-Hydroxy-3-(2-Hydroxy-3-Isopentenyl)Acetophenone","2",54,521.5,FALSE
"Decanedioic acid","2",57,477,FALSE
"8(S)-Amino-2(R)-Methyl-7-Oxononanoic Acid","2",109,2297.33333333333,FALSE
"Deoxyuridine","1",136,2161.5,FALSE
"2-hydroxyphenazine-1-carboxylic acid","7",120,1796,FALSE
"Azelaic acid","6",44,843.5,FALSE
"Dichotone A","1",176,2877.33333333333,TRUE
"Phenylmethylsulfonylfluoride","2",27,1790,FALSE
"Isofraxidin","1",161,2038.16666666667,FALSE
"2,6-Dimethoxybenzoic Acid","5",17,1135,FALSE
"2,3-dihydroxy-9,10-dihydroanthracene-9,10-dione","2",154,2383.83333333333,FALSE
"2-ethenylthiophene","5",13,0,FALSE
"pentylmalonic acid","2",24,0,FALSE
"Putaminoxin D","1",103,3444,FALSE
"Trans-6-(1-hydroxyethyl)-3,4-dihydroxy-2,2-dimethylchromane","3",137,1545.5,FALSE
"6-CARBOXYHEXANOATE","4",5,0,FALSE
"Pestalactam B","4",56,1087.5,FALSE
"Uridine","1",143,1295.5,FALSE
"Mansouramycin C","3",122,718.5,FALSE
"2-benzyl-4,6-dihydroxybenzoic acid","5",122,2501.5,FALSE
"Redoxcitrinin","5",41,162,FALSE
"THYMIDINE","1",140,1438.5,FALSE
"11-Hydroxy-4,5-dioxododecanoic acid","2",84,1673,FALSE
"6-hydroxy-6,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,6H,6aH,7H,8H,9bH-azuleno[4,5-b]furan-2-one","5",120,7802.5,FALSE
"8-(3-hydroxybut-1-en-1-yl)-1,5-dimethyl-6-oxabicyclo[3.2.1]octane-3,8-diol","7",118,1557,FALSE
"IBR-4","1",146,739,FALSE
"Methyl sulfate","7",33,514,FALSE
"Bulbimidazole C","2",17,431,FALSE
"Deoxysporothric acid","2",53,365,FALSE
"(Z)-2-octylpent-2-enedioic acid","2",84,1516.5,FALSE
"7-methyl-5a,8a-benzo-[5,6-b]-furancumarin","3",136,954,FALSE
"3-Methyl-5-[(6-methyl-4-oxo-2,3-dihydropyran-2-yl)methyl]furan-2-carboxylic acid","2",87,2688,FALSE
"6,7,8-trimethoxy-1,2-dimethyl-3,4-dihydro-1h-isoquinoline","2",63,1066,FALSE
"Chlorophene","6",100,4274,FALSE
"(E)-6-hydroxyhexadec-7-en-9,11,13,15-tetraynoic acid","3",91,3747,FALSE
"Asenjonamide A","1",112,4705,FALSE
"Schiffnerone A","1",163,2214.83333333333,FALSE
"6,8-Dihydroxy-3-methoxy-3,7-dimethylisochromene-1,4-dione","2",156,1678.33333333333,FALSE
"(3R)-7-hydroxy-3-(3-hydroxypropyl)-8-methoxy-3,4-dihydroisochromen-1-one","4",58,1234,FALSE
"Dehydrolindestrenolide","5",46,1698,FALSE
"3-(3,4,5-trimethoxyphenyl)propane-1,2-diol","6",40,369,FALSE
"2,2-dimethyl-2H,3H,4H,4aH,5H,6H,10bH-naphtho[1,2-b]pyran-5,6-dione","5",67,862,FALSE
"(3R)-3alpha,7beta-Dimethyl-6-(3-oxobutyl)-3,3aalpha,4,7,8,8abeta-hexahydro-2H-cyclohepta[b]furan-2-one","2",9,0,FALSE
"2-[(2r,4as,6r,8s,8ar)-6,8-dihydroxy-4a-methyl-octahydro-1h-naphthalen-2-yl]prop-2-enoic acid","2",114,2511,FALSE
"(1S,6R,9S,10R)-10-hydroxy-2,2,6-trimethyl-7,8-dioxatricyclo[7.3.1.01,6]tridecan-5-one","2",100,739,FALSE
"Pestalotioprolide C","2",133,1148,FALSE
"Isofuranonaphthoquinone A","5",42,2379,FALSE
"5-Hydroxy-2,8-Dimethyl-6,7-Dimethoxy Chromone","5",102,1052.5,FALSE
"3-[(1S)-1,2,4aalpha,5,6,7,8,8abeta-Octahydro-6beta-hydroxy-2beta,6-dimethylnaphthalene-1beta-yl]propionic acid","7",121,2456,FALSE
"Hydroxydianthalexin S","2",83,498.5,FALSE
"(3as,9s,9ar,9bs)-9,9a-dihydroxy-6,9-dimethyl-3-methylidene-3ah,4h,5h,9bh-azuleno[4,5-b]furan-2-one","2",139,1274.5,FALSE
"Viscosumic acid","5",117,4421.16666666667,FALSE
"Deoxyinosine","1",106,2098,FALSE
"norlichexanthone","1",65,1386,FALSE
"Hemigossypol","6",58,4023.33333333333,FALSE
"5,8-dihydroxy-9-methyl-3,6-dimethylidene-octahydro-3ah-azuleno[4,5-b]furan-2-one","2",117,5478.5,FALSE
"Legonindolizidine A","1",134,3362,FALSE
"Tetradecanedioic acid","6",10,7884,FALSE
"(3R,3aS,6E,10E,11aS)-3-(methoxymethyl)-6,10-dimethyl-3a,4,5,8,9,11a-hexahydro-3H-cyclodeca[b]furan-2-one","6",34,2698,FALSE
"homoxanthocidin","5",85,893.5,FALSE
"(1r,2s,3s,6s,7r,8s,10s,11s)-8-hydroxy-1,6,10-trimethyl-4,14-dioxatetracyclo[9.2.1.0,.0,]tetradecan-5-one","5",27,42,FALSE
"beta-Hydroxymyristic acid","1",77,1126,FALSE
"2,9;-DEOXYGUANOSINE","1",148,1551.5,FALSE
"Mellicophyllone B","2",111,5046.5,FALSE
"C12-AS (TENTATIVE)","2",73,4324,FALSE
"Rugulovasine A","2",133,2146.5,FALSE
"5,7-Dihydroxyflavanone","1",105,3657.5,FALSE
"Inosine","1",150,1395,FALSE
"4,5-dihydroxy-1-(piperidin-1-yl)dec-2-en-1-one","2",97,2576.5,FALSE
"4-Bromo-6-Chloro-5,5-Dimethyl-1-Vinyl-Cyclohexene","4",32,426.5,FALSE
"7-Hydroxy-4-(3-methylbutoxy)-2H-1-benzopyran-2-one","3",57,1789,FALSE
"Daidzein","7",66,2846.33333333333,FALSE
"5,7-dihydroxy-3-(3-hydroxyoxolan-2-yl)chromen-4-one","7",120,1364,FALSE
"9-(3,4,5-trihydroxyoxan-2-yl)-6,9-dihydro-1H-purin-6-one","3",138,583.666666666667,FALSE
"(4r)-4-ethenyl-4,10-dimethyl-3h-pyrano[3,2-c]chromene-2,5-dione","7",59,1702,FALSE
"Traumatic acid","6",23,1668,FALSE
"5-Hydroxy-1,2-Methylenedioxy-Anthraquinone","6",58,9527,FALSE
"1,3,6-trihydroxy-2-methyl-9,10-dihydroanthracene-9,10-dione","1",117,4458.5,FALSE
"4-hydroxy-2-methyl-7-[(E)-prop-1-enyl]-3,4-dihydro-2H-pyrano[3,2-c]pyran-5-one","5",20,44,FALSE
"Formononetin","5",109,3132.33333333333,FALSE
"(1S,3S)-3,6,8-trihydroxy-1-methyl-2,3-dihydro-1H-cyclopenta[c]isochromen-5-one","4",50,336,FALSE
"(2S,3aR,6S,7R,7aS)-2-[(1R)-1-hydroxy-3-methylbutyl]-6-methyl-3-methylidene-4,5,7,7a-tetrahydro-3aH-1-benzofuran-6,7-diol","5",118,6269.16666666667,FALSE
"4-keto palmitic acid","1",80,1514.5,FALSE
"2-[2-(4-hydroxyphenyl)ethenyl]-6-methoxybenzoic acid","7",128,4804.5,FALSE
"(1S,6R)-9-chloro-2,2,6,8-tetramethyl-7-oxatricyclo[6.2.2.01,6]dodecan-4-one","6",51,2085,FALSE
"2-keto palmitic acid","7",128,2872.5,FALSE
"(4as,5s)-3-hydroxy-4a,5-dimethyl-5,6,7,8-tetrahydronaphthalen-2-one","7",19,548,FALSE
"Huperzine W","4",18,589,FALSE
"6-O-methyl-moracin M","6",95,2310.25,FALSE
"3-keto palmitic acid","5",94,1702,FALSE
"Naringenin","7",128,936.5,FALSE
"7-(2,3-dihydroxy-3-methylbutoxy)chromen-2-one","2",119,1710.5,FALSE
"13-Oxo-9,11-tridecadienoic acid","2",7,6,FALSE
"7-phenyl-3H-benzo[de]isochromen-1-one","2",10,1668,FALSE
"2-[(1s,4r,4as,6s,8as)-6,8a-dihydroxy-4,7-dimethyl-2,3,4,4a,5,6-hexahydro-1h-naphthalen-1-yl]propanoic acid","2",160,6637.33333333333,FALSE
"Genistein","4",41,1089.5,FALSE
"Pallidopenilline A","1",151,1344.66666666667,FALSE
"16-oxohexadecanoic acid","1",89,1412,FALSE
"Hypostrepsilic acid","5",88,1138,FALSE
"2-hydroxy palmitic acid","1",57,993.5,FALSE
"7R-hydroxy-hexadecanoic acid","2",105,2083.5,FALSE
"2-Oxaisodauc-5-En-12-Al","6",19,37,FALSE
"Penicillinolide A","2",105,2683,FALSE
"Penitol A","2",56,36,FALSE
"(7,8-dihydroxy-2-oxochromen-6-yl)oxidanesulfonic acid","2",85,252,FALSE
"1,2:9,10-Diepoxy-4,6-heptadecadiyn-3-one","5",88,375.5,FALSE
"2,4,2',4'-Tetrahydroxychalcone","6",24,331,FALSE
"(2Z)-5-[(1R,5R,6S)-2,6-Dimethylbicyclo[3.1.1]hept-2-en-6-yl]-2-methyl-2-pentenoic acid, anhydride with acetic acid","7",87,2497,FALSE
"Coprismycin B","1",136,4267,FALSE
"Guanosine","1",148,659.5,FALSE
"(3s,4r,5s,6ar,9s,9ar,9br)-4,5-dihydroxy-3,9-dimethyl-6-methylidene-octahydro-3h-azuleno[4,5-b]furan-2,8-dione","3",165,5415.5,FALSE
"Fuscoatrol A","3",127,988,FALSE
"4-methyl-5-[4-methyl-5-oxo-3-(3-oxobutyl)oxolan-2-yl]cyclopent-4-ene-1,3-dione","7",79,1221.5,FALSE
"4-[4-(2-carboxyeth-1-en-1-yl)phenoxy]benzoic acid","7",104,2299,FALSE
"(6S,13R)-13-(Formyloxy)-6-hydroxy-2,4,8-tetradecatrienoic acid","2",122,2448.5,FALSE
"16-hydroxy-9E-hexadecenoic acid","1",77,1317,FALSE
"Eutypoid B","6",49,431.5,FALSE
"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid","5",72,887,FALSE
"9-methoxy-pentadecanoic acid","5",16,4222,FALSE
"6-Methoxymicrominutinin","5",48,945,FALSE
"Benzyl Ferulate","5",99,692,FALSE
"cyclo(his-phe)","1",65,1656,FALSE
"ADIPIC ACID","1",8,0,FALSE
"1-Hexanone, 1-(3-ethyl-2,4-dihydroxyphenyl)-2-methyl-","1",23,341,FALSE
"Wogonin","1",142,1719,FALSE
"isosakuranetin","1",125,1283.5,FALSE
"6,7-dehydromoluccanic acid","7",35,30,FALSE
"Sissotrin","3",138,920.5,FALSE
"5,4'-Dihydroxy-7-methoxyflavone","1",114,2310.33333333333,FALSE
"Questiomycin C","4",69,4219.91666666667,FALSE
"2-(2h-1,3-benzodioxol-5-yl)-3,4-dihydro-2h-1-benzopyran-3,7-diol","1",165,3616.91666666667,FALSE
"cis-p-Coumaroylagmatine","6",79,866,FALSE
"(+)-5(6)-dihydro-6-methoxyterrecyclic acid A","6",21,362,FALSE
"2-{10-methoxy-7-oxo-2h,3h-[1,4]dioxino[2,3-g]chromen-2-yl}prop-2-enal","6",89,1869,FALSE
"(2R,3S,5S)-5-[(Z)-1-chlorohex-3-en-5-ynyl]-2-[(Z)-3-hydroxypent-1-enyl]oxolan-3-ol","4",52,743,FALSE
"5,7,3',4'- tetrahydroxy-3-phenylcoumarin","5",95,1576,FALSE
"Thapsic Acid","4",45,558,FALSE
"3,16-dihydroxypalmitic acid","5",42,0,FALSE
"3-(5,8-dimethoxy-2,2-dimethylchromen-6-yl)propanoic acid","5",84,1456.5,FALSE
"(1s,3r,9r,10s,13r)-3-methoxy-6,9,10-trimethyl-4,14-dioxatetracyclo[7.5.0.0,.0,]tetradec-6-en-5-one","2",97,1029.5,FALSE
"alpha-kamlolenic acid","5",84,1885.5,FALSE
"8-Hydroxypalmitic acid","7",37,354,FALSE
"Xanthosine","7",80,3162.5,FALSE
"N-ACETYLMURAMIC ACID","1",163,1356.16666666667,FALSE
"(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-{[(2e)-3-[(s)-methanesulfinyl]prop-2-en-1-yl]oxy}oxane-3,4,5-triol","2",98,755,FALSE
"4-(2-Aminoethyl)-2,6-Dibromophenol","2",86,160,FALSE
"(9R,13R)-10,11-dihydro-12-oxo-15-phytoenoic acid","2",137,5463.33333333333,FALSE
"11-(2,3-dihydroxycyclopentyl)undecanoic acid","1",79,1578.5,FALSE
"Tanzawaic acid X","7",102,2540.5,FALSE
"Microsphaerophthalide E","2",139,2562,FALSE
"7-chloro-1-methyl-5-phenyl-5h-1,4-benzodiazepin-2-one","2",48,256,FALSE
"(5s)-5-[(7s,8e)-7-hydroxytetradec-8-en-1-yl]oxolan-2-one","7",57,1415,FALSE
"Puerariafuran","3",4,1668,FALSE
"Ethyl (E)-8-Oxohexadec-9-Enoate","2",144,672.5,FALSE
"Nazlinin","2",15,31,FALSE
"8-Methoxycoumestrol","2",61,646,FALSE
"(1s,2r,5s,6s,9s,10s,11s,13r)-2,6,10-trimethyl-8-oxatetracyclo[7.3.1.0,.0,]tridecane-5,9,11,13-tetrol","5",83,1584.5,FALSE
"16-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.0,.0,.0,]icosa-1(20),2(6),7,9,11,14,16,18-octaen-13-one","6",76,1358,FALSE
"Cytosporone Q","7",112,3468.5,FALSE
"2-hydroxy-9Z,12Z-Octadecadienoic acid","1",132,1848,FALSE
"3S-hydroxypalmitic acid","5",27,2307,FALSE
"9(S)-hydroxy-10E,12Z-octadecadienoic acid","5",85,2097,FALSE
"Acerogenin B","2",86,3232.5,FALSE
"3-hydroxyheptadecanoic acid","1",72,423,FALSE
"Neobavachalcone","5",102,1109,FALSE
"5,9,11,13-tetrahydroxy-2,6,10-trimethyl-8-oxatetracyclo[7.3.1.0,.0,]tridecan-4-one","5",49,687,FALSE
"19-HOME(9Z)","1",116,904.5,FALSE
"7-hydroxy-10-methoxy-3-methyl-3h-benzo[f]chromene-8-carboxylic acid","7",14,6.5,FALSE
"W-Cycloheptyl-A-Hydroxyundecanoic Acid","7",53,592,FALSE
"Lactarinic acid","7",96,228,FALSE
"9,16-dihydroxy-palmitic acid","2",75,4489,FALSE
"Khrinone A","3",53,1289.5,FALSE
"Kaempferide","3",83,3923,FALSE
"Enterolactone","1",168,3258.5,FALSE
"2-methyl-4-oxo-heptadecanoic acid","5",131,2368.5,FALSE
"9-methylidene-8-oxoheptadecanoic acid","2",57,1191.5,FALSE
"Galiellalactone","1",2,0,FALSE
"Oblongin","2",111,449.5,FALSE
"(E)-1-(2-hydroxy-4,6-dimethoxyphenyl)-3-(3-hydroxyphenyl)prop-2-en-1-one","3",120,1724.5,FALSE
"vanillic acid","1",15,7,FALSE
"(1S,4R,5S,7R,10R)-guaiane-4,5,10,11,12-pentaol","2",89,12134,FALSE
"racemosalactone B","1",160,2122.83333333333,FALSE
"Berkeleylactone J","1",84,1255.5,FALSE
"Berkeleylactone F","1",85,2020,FALSE
"(1s,4ar,5s,8ar)-5-(2-carboxyethyl)-1,4a-dimethyl-6-methylidene-hexahydro-2h-naphthalene-1-carboxylic acid","3",91,4122.08333333333,FALSE
"Harzianone D","2",102,1074,FALSE
"3-methyl-hexadecanedioic acid","1",107,9324,FALSE
"3-[3-(3,7-dimethylocta-2,6-dien-1-yl)-4-hydroxyphenyl]prop-2-enoic acid","7",47,564.5,FALSE
"Crooksidine","5",71,651,FALSE
"DL-2-hydroxy stearic acid","5",108,2226.5,FALSE
"DL-6-hydroxy stearic acid","1",152,2452.5,FALSE
"Homoeriodictyol","5",114,1353.66666666667,FALSE
"Haematoxylin","5",88,1936.5,FALSE
"Pleurone","6",32,168.5,FALSE
"3-hydroxy-6-methylheptadecanoic acid","3",116,110,FALSE
"1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-3,7,10-trioxapentacyclo[6.4.1.1,.0,.0,]tetradecane-6,11-dione","5",99,3223,FALSE
"(3r,3ar,4r,6s)-3-(furan-3-yl)-6-hydroxy-3a,7-dimethyl-1-oxo-3,4,5,6-tetrahydro-2-benzofuran-4-yl acetate","5",104,2695,FALSE
"10-hydroxy-hexadecan-1,16-dioic acid","1",84,1414.5,FALSE
"roccellic acid","3",143,1792.5,FALSE
"FA 18:4+2O","3",143,1056.5,FALSE
"5-(2R-hydroxy-tridecyl)resorcinol","1",149,1629,FALSE
"Melimessanol A","2",97,564.5,FALSE
"Auraptene","5",54,1748.5,FALSE
"(5S,8R,9R,10S)-(-)-8-hydroxy-7,8-seco-cassa-13,15-dien-7-oic acid epsilon+","1",101,530,FALSE
"moniliphenone","7",83,2375,FALSE
"Gallicynoic acid D","5",102,3832,FALSE
"Dihydroalbocycline","3",181,3112,TRUE
"3-hydroxy-16-methyl-heptadecanoic acid","6",98,4316.5,FALSE
"10-methoxyheptadeca-4,6-diyne-3,8,9-triol","3",155,2217,FALSE
"9-hydroxy-10-oxo-12-octadecenoic acid","3",166,3502,FALSE
"1,3a-dihydroxy-6,6,9a-trimethyl-1h,3h,5ah,7h,8h,9h,9bh-naphtho[1,2-c]furan-9-yl acetate","5",119,4193.33333333333,FALSE
"Gnaphaliin","6",105,4877.16666666667,FALSE
"3-keto stearic acid","4",54,1914,FALSE
"Penisporolide B","5",112,4786,FALSE
"4-O-methylneoilludin A","1",74,569,FALSE
"5S,18-diHODE","7",85,558.5,FALSE
"2,3-Dihydro-2,3-dihydroxy-9-(4-hydroxyphenyl)-1H-phenalen-1-one","7",71,785,FALSE
"Alpha-Terthienyl","6",2,3334,FALSE
"Ruscopine","2",85,484.5,FALSE
"3',4'-Dimethoxy-7-hydroxyflavone","2",133,2133.5,FALSE
"phyllanflexoid B","5",100,2199.5,FALSE
"Ptychonolide","5",70,2028,FALSE
"DL-7-hydroxy stearic acid","7",31,240,FALSE
"Dihydroquinamine","7",127,1860.5,FALSE
"10-Hydroxy-9-ketooctadecanoic acid","7",83,2585.33333333333,FALSE
"octadeca-9,12-dienoyl chloride","2",99,1212,FALSE
"Norgestrel","6",8,0,FALSE
"Ochrolic acid","6",85,3220,FALSE
"2-{[(2e)-3-methanesulfinylprop-2-en-1-yl]disulfanyl}butane","7",3,0,FALSE
"2beta-Hydroxyjatropholone","2",108,2536.83333333333,FALSE
"2-(5-((2Z,5Z,8Z,11Z)-tetradeca-2,5,8,11-tetraen-1-yl)furan-2-yl)-ethanoic acid","3",102,3063.5,FALSE
"3-[(1r,4r,5r,6r,8s,9s)-9-(hydroxymethyl)-5-methyl-4-(prop-1-en-2-yl)tricyclo[6.2.2.0,]dodecan-5-yl]propanoic acid","7",87,1477.83333333333,FALSE
"6,12-dimethyl-14-oxapentacyclo[10.3.3.1,.0,.0,]nonadecane-6,15-diol","3",98,9028.58333333333,FALSE
"3-{4-hydroxy-3-[4-hydroxy-3-(4-methylpent-3-en-1-yl)but-2-en-1-yl]phenyl}prop-2-enoic acid","5",109,1480.66666666667,FALSE
"2-[(4-Hydroxy-1,3-dihydro-2-benzofuran-1-yl)methyl]-5-pentyloxolane-3,4-diol","5",108,1550.66666666667,FALSE
"Ustethylin B","6",3,0,FALSE
"Apteniol A","6",65,1309.5,FALSE
"Gardenin A","3",123,1102.5,FALSE
"Isoprekinamycin","7",72,2699,FALSE
"Albocycline M-4","1",162,2260.83333333333,FALSE
"Endocrocin","1",96,3066,FALSE
"Heliconol B","2",65,268,FALSE
"8-amino-7-oxononanoic acid","2",40,1693,FALSE
"9-Hydroxy-10-ketooctadecanoic acid","1",115,4625,FALSE
"Kibalaurifenone","2",79,712.5,FALSE
"Chinese bittersweet alkaloid II","6",76,2679,FALSE
"Cycloneran-3,7,11-triol","5",3,285,FALSE
"Gibberellin A103","4",52,62,FALSE
"(1r,3r,5s,6z,8r,10z,14s)-6,10,14-trimethyl-3-(prop-1-en-2-yl)-15-oxabicyclo[12.1.0]pentadeca-6,10-diene-5,8-diol","7",87,1922,FALSE
"Dihydrocineromycin B","1",30,956.5,FALSE
"9,12-dihydroxy stearic acid","1",61,290,FALSE
"7,8-Dihydroxy-1-Methoxy-3-Methyl-10-Oxo-1H-Pyrano[4,3-B]Chromene-9-Carboxylic Acid","1",63,725,FALSE
"2-hydroxy-eicosanoic acid","1",79,3182.5,FALSE
"Pongapinnol C","5",60,1235,FALSE
"Citrifelin A","5",65,69,FALSE
"8-HETE","7",90,791.5,FALSE
"2-Carboxy-3,5-dihydroxy-4-(3-methyl-2-butenyl)bibenzyl","7",124,718,FALSE
"Gliomasolide E","7",94,2205.5,FALSE
"4-(hexa-2,4-diyn-1-ylidene)-3,6-dioxaspiro[bicyclo[3.1.0]hexane-2,2'-oxan]-5'-yl 3-methylbutanoate","1",77,850.5,FALSE
"ent-8beta,16-Dihydroxy-17-nor-6,13E-labdadien-15-oic acid","5",102,817,FALSE
"N-P-Coumaroyl Serotonin","3",128,1465.5,FALSE
"Angulifolide","1",144,657,FALSE
"(1'r,2s,6's,8's)-4,5',5'-trimethyl-5-oxo-13'-oxaspiro[furan-2,9'-tricyclo[6.3.2.0,]tridecan]-10'-ene-11'-carboxylic acid","5",88,1630.5,FALSE
"6-Methoxyluteolin","2",135,1954,FALSE
"Sternbin","1",81,113,FALSE
"(+)-6-O-demethylpestalotiopsin A","2",103,1277,FALSE
"9,12-dihydroxynonadec-15-enoic acid","2",21,414,FALSE
"13,16-Epoxy-7,12-dihydroxy-9Z-octadecenoic acid","2",122,1752.66666666667,FALSE
"11,12,13-TriHOME","5",90,4015,FALSE
"N-[9,10-Dihydrojasmonoyl]isoleucine","3",146,2337,FALSE
"N-Demethyloxysanguinarine","2",124,1437,FALSE
"2-[(2R,8S,8aR)-8,8a-dimethyl-2,3,5,6,7,8-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid","2",7,561,FALSE
"1-Acetylaspidoalbidine","2",66,868,FALSE
