"node","module","degree","betweenness","is_hub"
"Phenylmethylsulfonylfluoride","3",113,860,FALSE
"p-nitrobenzoate","5",252,1420,FALSE
"4-Bromophenol","1",213,2493,FALSE
"10-hydroxy-8E-Decene-2,4,6-triynoic acid","4",124,402,FALSE
"4,5-dihydroxy-7-methylphthalide","4",176,1979,FALSE
"4-Methoxyindole-3-carbaldehyde","2",281,977.75,FALSE
"7-hydroxy-4,6-dimethyl-3h-2-benzofuran-1-one","1",241,3304.5,FALSE
"(1s,6s,8s,8ar)-octahydroindolizine-1,6,8-triol","3",122,2420.5,FALSE
"2-Propan-2-Ylidenepentanedioic Acid","3",220,1144,FALSE
"(5s)-2-carboxy-5-methylthiomorpholin-1-ium-1-olate","3",267,1867.5,FALSE
"D-Mannose","1",286,1759,FALSE
"Fructose","3",150,1897.5,FALSE
"Isopatulin","2",148,276.5,FALSE
"4-Methoxyphenylacetic Acid","2",17,0,FALSE
"1-{[(s)-(1e)-prop-1-ene-1-sulfinyl]sulfanyl}butane","5",271,1022.5,FALSE
"4-O-Methylphloracetophenone","3",210,3035.5,FALSE
"3,4-Dimethoxybenzamide","3",237,893,FALSE
"4-NITROPHENOL","2",98,75,FALSE
"2,6-Dimethoxybenzoic Acid","4",131,492.5,FALSE
"2-(4-methylfuran-2-yl)cyclohexa-2,5-diene-1,4-dione","2",147,1532,FALSE
"2-chloro-1,3-dimethoxy-5-methylbenzene","5",291,3471.5,FALSE
"3-chloro-4-hydroxyphenylacetamide","1",169,232.5,FALSE
"(1R)-1-[(1R)-1-hydroxyethyl]-1,3-dihydro-2-benzofuran-4-ol","5",57,43,FALSE
"3-hydroxy-decanoic acid","2",297,936.533333333333,FALSE
"4-hydroxybenzene-1,3-dicarbaldehyde","2",17,0,FALSE
"2h-[1,3]dioxolo[4,5-g]chromen-8-one","5",260,581.833333333333,FALSE
"2,4-dichlorobenzoic acid","1",183,1247.5,FALSE
"8-amino-7-oxononanoic acid","3",135,902.5,FALSE
"D-Mannitol","4",217,764,FALSE
"p-Cresol sulfate","4",184,1516.5,FALSE
"2-Propyl-4-(hydroxymethyl)furan-3-carboxylic acid","1",31,558,FALSE
"Veratramide","5",269,2178,FALSE
"3-Hydroxyjuglone","5",198,342,FALSE
"3-Formylcarbazole","5",259,1784.33333333333,FALSE
"(4ar,8s,8ar)-4,8-dimethyl-4a,5,6,7,8,8a-hexahydroisochromen-1-one","6",3,402,FALSE
"6H-benzo[c]chromen-6-one","5",255,1376.5,FALSE
"GLUCONIC ACID","2",288,469,FALSE
"2-Chloro-L-phenylalanine-IS","1",299,1082.75,TRUE
"Galacturonic acid","3",196,399.5,FALSE
"8(S)-Amino-2(R)-Methyl-7-Oxononanoic Acid","3",213,1045,FALSE
"ethyl 9-oxononanoate","2",287,787,FALSE
"(4as,5s)-3-hydroxy-4a,5-dimethyl-5,6,7,8-tetrahydronaphthalen-2-one","1",169,582.5,FALSE
"4-Hydroxy-3-methoxycinnamic acid","4",187,420.333333333333,FALSE
"(+) (1R*, 2R*, 4R*)-trihydroxy-p-menth-3-ene","1",210,1311,FALSE
"2,8-dihydroxyquinoline-4-carboxylic acid","1",196,450.333333333333,FALSE
"Avicequinone B","3",227,432.5,FALSE
"N-acetylphenylalanine","1",204,1529,FALSE
"Malate","4",2,15,FALSE
"Methyl (E)-3-(1,3-Benzodioxol-5-Yl)Prop-2-Enoate","4",129,3092.33333333333,FALSE
"Doryanine","2",271,1489.5,FALSE
"3H-1,3-Benzothiazol-2-One","7",2,1,FALSE
"Azelaic acid","2",127,1654.5,FALSE
"1,5-Secovibralactone","1",194,3318.5,FALSE
"6-formylsalicylic acid","2",23,196,FALSE
"1H-Pyrido[3,4-b]indole-1,3 4(2H,9H)-trione","1",299,1712,TRUE
"Chlorophene","2",211,2203,FALSE
"Pestalactam B","4",113,956.5,FALSE
"GEIR-1","4",215,1634,FALSE
"Rubramin","1",207,397,FALSE
"3-Hydroxybenzo[C]Chromen-6-One","5",215,1677,FALSE
"Olivetolic Acid","5",215,308,FALSE
"8E-Hydroxy-4,8-dimethyl-4,9-decadienal","5",158,128,FALSE
"Peniamidone A","5",266,1369.5,FALSE
"Isofraxidin","2",280,1294,FALSE
"2-Hydroxyanthraquinone","1",193,305.5,FALSE
"Rubralide A","4",154,722,FALSE
"3,8-dihydroxy-6H-benzo[c]chromen-6-one","1",294,2853.16666666667,FALSE
"pentylmalonic acid","3",103,33,FALSE
"Decanedioic acid","3",172,1118,FALSE
"4-Phenoxybenzoic acid","3",61,0,FALSE
"Bulbimidazole C","3",171,525,FALSE
"Asperitaconic acid C","3",240,696.5,FALSE
"13-Oxo-9,11-tridecadienoic acid","3",71,6101,FALSE
"Ustethylin B","2",53,321,FALSE
"1-Hydroxy-3-methylxanthone","5",236,1159.5,FALSE
"4-Hydroxy-3-(2-Hydroxy-3-Isopentenyl)Acetophenone","3",170,979,FALSE
"2-{[(2e)-3-methanesulfinylprop-2-en-1-yl]disulfanyl}butane","1",51,1,FALSE
"Traumatic acid","2",83,406.5,FALSE
"Flonicamid","5",256,614,FALSE
"Dihydro-3-hydroxy-3-(1-hydroxyethyl)-4-methylfuran-2(3H)-one","4",7,281,FALSE
"4-Hydroxyphenylpyruvic acid","4",19,0,FALSE
"4-hydroxy-2-methyl-7-[(E)-prop-1-enyl]-3,4-dihydro-2H-pyrano[3,2-c]pyran-5-one","1",91,314.5,FALSE
"alaguignardic acid","5",261,669,FALSE
"Deoxyuridine","1",260,2417.5,FALSE
"1,3-dihydroxypropan-2-yl 3-(4-hydroxyphenyl)prop-2-enoate","5",256,1347,FALSE
"1-[(aziridin-1-yl)[(4-methylphenyl)amino]phosphoroso]aziridine","3",228,690.5,FALSE
"Acremine S","3",208,221.5,FALSE
"6-(2h-1,3-benzodioxol-5-yl)-4-methylpyran-2-one","1",219,1177.5,FALSE
"Trans-6-(1-hydroxyethyl)-3,4-dihydroxy-2,2-dimethylchromane","5",252,1269.5,FALSE
"Redoxcitrinin","1",153,759,FALSE
"Asenjonamide A","1",230,3601,FALSE
"2-hydroxyphenazine-1-carboxylic acid","1",229,835.333333333333,FALSE
"THYMIDINE","1",248,1605,FALSE
"Dehydrolindestrenolide","3",145,1600.5,FALSE
"Dichotone A","1",297,1703.83333333333,FALSE
"3-(3,4,5-trimethoxyphenyl)propane-1,2-diol","2",99,176.5,FALSE
"2,3-dihydroxy-9,10-dihydroanthracene-9,10-dione","3",270,990,FALSE
"Putaminoxin D","2",223,2267.83333333333,FALSE
"Huperzine W","4",75,1232,FALSE
"2-benzyl-4,6-dihydroxybenzoic acid","3",241,2393.5,FALSE
"2-hydroxy-4-methoxy-6-propylbenzoic acid","4",5,3202,FALSE
"Uridine","2",261,917.5,FALSE
"(Z)-2-octylpent-2-enedioic acid","5",201,1157.5,FALSE
"homoxanthocidin","4",192,875.5,FALSE
"Ethyl 4-ethoxy-2-hydroxy-3,6-dimethylbenzoate","1",15,3,FALSE
"beta-Hydroxymyristic acid","2",239,663.5,FALSE
"Mansouramycin C","5",258,932,FALSE
"2,2-dimethyl-2H,3H,4H,4aH,5H,6H,10bH-naphtho[1,2-b]pyran-5,6-dione","4",156,743,FALSE
"4-Bromo-6-Chloro-5,5-Dimethyl-1-Vinyl-Cyclohexene","1",98,233,FALSE
"11-Hydroxy-4,5-dioxododecanoic acid","3",186,1452,FALSE
"6-hydroxy-6,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,6H,6aH,7H,8H,9bH-azuleno[4,5-b]furan-2-one","3",244,3868.5,FALSE
"IBR-4","1",263,711,FALSE
"8-(3-hydroxybut-1-en-1-yl)-1,5-dimethyl-6-oxabicyclo[3.2.1]octane-3,8-diol","1",203,954,FALSE
"3-Methyl-5-[(6-methyl-4-oxo-2,3-dihydropyran-2-yl)methyl]furan-2-carboxylic acid","3",183,1840.5,FALSE
"Nazlinin","3",139,257,FALSE
"6,7,8-trimethoxy-1,2-dimethyl-3,4-dihydro-1h-isoquinoline","3",164,372.5,FALSE
"Viscosumic acid","1",234,2374.5,FALSE
"Schiffnerone A","1",291,1108.83333333333,FALSE
"7-Hydroxy-4-(3-methylbutoxy)-2H-1-benzopyran-2-one","5",141,2155,FALSE
"n-butyrl n-valeric acid","2",40,0,FALSE
"Deoxysporothric acid","3",158,1186,FALSE
"3-[(1S)-1,2,4aalpha,5,6,7,8,8abeta-Octahydro-6beta-hydroxy-2beta,6-dimethylnaphthalene-1beta-yl]propionic acid","1",219,1512,FALSE
"7-methyl-5a,8a-benzo-[5,6-b]-furancumarin","5",226,383,FALSE
"(3R)-7-hydroxy-3-(3-hydroxypropyl)-8-methoxy-3,4-dihydroisochromen-1-one","4",133,2140.5,FALSE
"Daidzein","2",125,1334.5,FALSE
"2-[(2r,4as,6r,8s,8ar)-6,8-dihydroxy-4a-methyl-octahydro-1h-naphthalen-2-yl]prop-2-enoic acid","5",246,1166.83333333333,FALSE
"6,8-Dihydroxy-3-methoxy-3,7-dimethylisochromene-1,4-dione","3",268,949.833333333333,FALSE
"2-Oxaisodauc-5-En-12-Al","2",103,15,FALSE
"(E)-6-hydroxyhexadec-7-en-9,11,13,15-tetraynoic acid","5",215,2515.83333333333,FALSE
"Hydroxydianthalexin S","3",215,603.5,FALSE
"Deoxyinosine","1",254,1405.5,FALSE
"Alpha-Terthienyl","2",19,27,FALSE
"6-O-methyl-moracin M","2",205,1459,FALSE
"5-Hydroxy-2,8-Dimethyl-6,7-Dimethoxy Chromone","4",225,2117.5,FALSE
"Pestalotioprolide C","3",260,1249.5,FALSE
"(3R)-3alpha,7beta-Dimethyl-6-(3-oxobutyl)-3,3aalpha,4,7,8,8abeta-hexahydro-2H-cyclohepta[b]furan-2-one","3",61,0,FALSE
"Isofuranonaphthoquinone A","3",186,5833.5,FALSE
"Lusianthrin","2",28,659,FALSE
"(1S,6R,9S,10R)-10-hydroxy-2,2,6-trimethyl-7,8-dioxatricyclo[7.3.1.01,6]tridecan-5-one","3",210,616,FALSE
"7-phenyl-3H-benzo[de]isochromen-1-one","3",101,1715,FALSE
"Hemigossypol","2",131,2449,FALSE
"5,7-Dihydroxyflavanone","1",224,2593.5,FALSE
"Mellicophyllone B","3",239,4127,FALSE
"(3as,9s,9ar,9bs)-9,9a-dihydroxy-6,9-dimethyl-3-methylidene-3ah,4h,5h,9bh-azuleno[4,5-b]furan-2-one","3",265,756,FALSE
"norlichexanthone","1",181,2022.5,FALSE
"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid","4",154,596.833333333333,FALSE
"5,8-dihydroxy-9-methyl-3,6-dimethylidene-octahydro-3ah-azuleno[4,5-b]furan-2-one","3",225,2741,FALSE
"Legonindolizidine A","1",240,1772.5,FALSE
"Tetradecanedioic acid","2",59,240,FALSE
"(3R,3aS,6E,10E,11aS)-3-(methoxymethyl)-6,10-dimethyl-3a,4,5,8,9,11a-hexahydro-3H-cyclodeca[b]furan-2-one","2",107,1450,FALSE
"Cycloneran-3,7,11-triol","4",31,17,FALSE
"(1r,2s,3s,6s,7r,8s,10s,11s)-8-hydroxy-1,6,10-trimethyl-4,14-dioxatetracyclo[9.2.1.0,.0,]tetradecan-5-one","4",100,722,FALSE
"2,9;-DEOXYGUANOSINE","1",277,1729.5,FALSE
"1-Hexanone, 1-(3-ethyl-2,4-dihydroxyphenyl)-2-methyl-","2",177,843,FALSE
"7-(2,3-dihydroxy-3-methylbutoxy)chromen-2-one","3",228,918.5,FALSE
"C12-AS (TENTATIVE)","3",208,4788,FALSE
"Rugulovasine A","3",273,1786,FALSE
"Inosine","1",269,787,FALSE
"4,5-dihydroxy-1-(piperidin-1-yl)dec-2-en-1-one","3",203,1551.5,FALSE
"5,7-dihydroxy-3-(3-hydroxyoxolan-2-yl)chromen-4-one","1",223,1073,FALSE
"9-(3,4,5-trihydroxyoxan-2-yl)-6,9-dihydro-1H-purin-6-one","5",252,823.5,FALSE
"(4r)-4-ethenyl-4,10-dimethyl-3h-pyrano[3,2-c]chromene-2,5-dione","2",137,1673,FALSE
"5-Hydroxy-1,2-Methylenedioxy-Anthraquinone","2",134,6317.5,FALSE
"Formononetin","4",231,1876.33333333333,FALSE
"1,3,6-trihydroxy-2-methyl-9,10-dihydroanthracene-9,10-dione","1",226,2729.5,FALSE
"6-hydroxy-2-[(1e)-2-methanesulfinylethenyl]chromen-4-one","1",23,0,FALSE
"Genistein","4",112,1675.5,FALSE
"Pallidopenilline A","1",279,1025.33333333333,FALSE
"(2S,3aR,6S,7R,7aS)-2-[(1R)-1-hydroxy-3-methylbutyl]-6-methyl-3-methylidene-4,5,7,7a-tetrahydro-3aH-1-benzofuran-6,7-diol","1",234,3172,FALSE
"(1S,3S)-3,6,8-trihydroxy-1-methyl-2,3-dihydro-1H-cyclopenta[c]isochromen-5-one","4",129,494.5,FALSE
"4-keto palmitic acid","1",205,1459.33333333333,FALSE
"2-[2-(4-hydroxyphenyl)ethenyl]-6-methoxybenzoic acid","1",220,3943,FALSE
"(1S,6R)-9-chloro-2,2,6,8-tetramethyl-7-oxatricyclo[6.2.2.01,6]dodecan-4-one","1",141,2446,FALSE
"1-(2-Hydroxyphenyl)Ethanone","3",12,62,FALSE
"2-keto palmitic acid","1",217,1053.5,FALSE
"16-hydroxy-9E-hexadecenoic acid","1",182,1588.5,FALSE
"3-keto palmitic acid","4",204,1743.5,FALSE
"16-oxohexadecanoic acid","1",195,1115.5,FALSE
"Naringenin","1",222,766.5,FALSE
"Steperoxide C","1",2,1786,FALSE
"Hypostrepsilic acid","1",207,477.5,FALSE
"9-methoxy-pentadecanoic acid","4",98,1559.5,FALSE
"2-[(1s,4r,4as,6s,8as)-6,8a-dihydroxy-4,7-dimethyl-2,3,4,4a,5,6-hexahydro-1h-naphthalen-1-yl]propanoic acid","3",270,2954.33333333333,FALSE
"6,7-dehydromoluccanic acid","1",128,382,FALSE
"2-hydroxy palmitic acid","1",181,5763,FALSE
"Penicillinolide A","3",222,1811,FALSE
"7R-hydroxy-hexadecanoic acid","3",215,966.5,FALSE
"2,4,2',4'-Tetrahydroxychalcone","2",103,601,FALSE
"6-Methoxymicrominutinin","4",155,2182,FALSE
"8-Hydroxypalmitic acid","1",167,447,FALSE
"(7,8-dihydroxy-2-oxochromen-6-yl)oxidanesulfonic acid","3",192,422,FALSE
"2,4-dimethylhexanedioic acid","3",48,238,FALSE
"3S-hydroxypalmitic acid","4",124,2900,FALSE
"Coprismycin B","1",248,2250.5,FALSE
"(2Z)-5-[(1R,5R,6S)-2,6-Dimethylbicyclo[3.1.1]hept-2-en-6-yl]-2-methyl-2-pentenoic acid, anhydride with acetic acid","1",187,2091,FALSE
"Questiomycin C","4",139,2023,FALSE
"Penitol A","3",161,777,FALSE
"4-(4-hydroxy-3,5-dimethoxyphenyl)-5-methyloxolan-2-one","3",10,385,FALSE
"cis-p-Coumaroylagmatine","2",206,1107.5,FALSE
"1,2:9,10-Diepoxy-4,6-heptadecadiyn-3-one","3",221,1135.5,FALSE
"(1s,3r,9r,10s,13r)-3-methoxy-6,9,10-trimethyl-4,14-dioxatetracyclo[7.5.0.0,.0,]tetradec-6-en-5-one","3",208,320,FALSE
"4-methyl-5-[4-methyl-5-oxo-3-(3-oxobutyl)oxolan-2-yl]cyclopent-4-ene-1,3-dione","1",206,1327.5,FALSE
"(3s,4r,5s,6ar,9s,9ar,9br)-4,5-dihydroxy-3,9-dimethyl-6-methylidene-octahydro-3h-azuleno[4,5-b]furan-2,8-dione","5",272,3069.83333333333,FALSE
"Dodecanedioic acid","5",28,281,FALSE
"5-oxo-pentanoic acid","5",5,0,FALSE
"Cadalen-15-Oic Acid","3",2,0,FALSE
"Guanosine","1",284,537,FALSE
"Fuscoatrol A","5",243,917,FALSE
"4-[4-(2-carboxyeth-1-en-1-yl)phenoxy]benzoic acid","1",235,1712.33333333333,FALSE
"(6S,13R)-13-(Formyloxy)-6-hydroxy-2,4,8-tetradecatrienoic acid","3",240,1621,FALSE
"Eutypoid B","1",143,443.5,FALSE
"(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-{[(2e)-3-[(s)-methanesulfinyl]prop-2-en-1-yl]oxy}oxane-3,4,5-triol","3",228,1033,FALSE
"Wogonin","1",280,939.5,FALSE
"5,4'-Dihydroxy-7-methoxyflavone","1",238,1125.5,FALSE
"(+)-5(6)-dihydro-6-methoxyterrecyclic acid A","2",141,549,FALSE
"Benzyl Ferulate","4",211,784.5,FALSE
"cyclo(his-phe)","1",176,1133,FALSE
"(2R,3S,5S)-5-[(Z)-1-chlorohex-3-en-5-ynyl]-2-[(Z)-3-hydroxypent-1-enyl]oxolan-3-ol","4",143,551.5,FALSE
"(1s,2r,5s,6s,9s,10s,11s,13r)-2,6,10-trimethyl-8-oxatetracyclo[7.3.1.0,.0,]tridecane-5,9,11,13-tetrol","2",209,1059,FALSE
"Sissotrin","5",243,843,FALSE
"isosakuranetin","2",254,616.5,FALSE
"Berkeleylactone J","1",208,1049.5,FALSE
"alpha-Cehc","4",48,28.5,FALSE
"11-(2,3-dihydroxycyclopentyl)undecanoic acid","1",203,1029.5,FALSE
"2-(2h-1,3-benzodioxol-5-yl)-3,4-dihydro-2h-1-benzopyran-3,7-diol","2",286,1458.25,FALSE
"7-chloro-1-methyl-5-phenyl-5h-1,4-benzodiazepin-2-one","3",162,586.5,FALSE
"5,7,3',4'- tetrahydroxy-3-phenylcoumarin","4",214,1594.5,FALSE
"Puerariafuran","5",50,996,FALSE
"2-{10-methoxy-7-oxo-2h,3h-[1,4]dioxino[2,3-g]chromen-2-yl}prop-2-enal","2",209,1293,FALSE
"Di-n-butyl phthalate","3",16,99,FALSE
"Xanthosine","1",196,3204,FALSE
"16-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.0,.0,.0,]icosa-1(20),2(6),7,9,11,14,16,18-octaen-13-one","2",212,636,FALSE
"Thapsic Acid","1",157,824.5,FALSE
"3,16-dihydroxypalmitic acid","4",134,72,FALSE
"3-(5,8-dimethoxy-2,2-dimethylchromen-6-yl)propanoic acid","4",166,531,FALSE
"4-(2-Aminoethyl)-2,6-Dibromophenol","3",195,711.5,FALSE
"alpha-kamlolenic acid","4",181,1189,FALSE
"Tanzawaic acid X","1",193,1177,FALSE
"N-ACETYLMURAMIC ACID","1",303,818.5,TRUE
"(9R,13R)-10,11-dihydro-12-oxo-15-phytoenoic acid","3",232,2564.5,FALSE
"Cytosporone Q","1",235,2176.5,FALSE
"9,16-dihydroxy-palmitic acid","5",196,3915,FALSE
"Microsphaerophthalide E","3",266,1679,FALSE
"(1S,4R,5S,7R,10R)-guaiane-4,5,10,11,12-pentaol","3",180,5832.5,FALSE
"(5s)-5-[(7s,8e)-7-hydroxytetradec-8-en-1-yl]oxolan-2-one","2",139,1490.5,FALSE
"Ethyl (E)-8-Oxohexadec-9-Enoate","3",261,688.5,FALSE
"Oblongin","3",246,749.5,FALSE
"8-Methoxycoumestrol","3",217,1413.5,FALSE
"3-hydroxyheptadecanoic acid","2",237,859.5,FALSE
"(1s,4ar,5s,8ar)-5-(2-carboxyethyl)-1,4a-dimethyl-6-methylidene-hexahydro-2h-naphthalene-1-carboxylic acid","5",213,2805.16666666667,FALSE
"2-hydroxy-9Z,12Z-Octadecadienoic acid","1",272,1146,FALSE
"9(S)-hydroxy-10E,12Z-octadecadienoic acid","4",195,1650,FALSE
"Acerogenin B","3",225,1556.5,FALSE
"9-methylidene-8-oxoheptadecanoic acid","3",132,1511.5,FALSE
"Auraptene","3",186,1093.5,FALSE
"Enterolactone","1",296,1567.33333333333,FALSE
"5,9,11,13-tetrahydroxy-2,6,10-trimethyl-8-oxatetracyclo[7.3.1.0,.0,]tridecan-4-one","4",172,936,FALSE
"Neobavachalcone","2",249,815,FALSE
"19-HOME(9Z)","2",254,3082.5,FALSE
"Dihydrocineromycin B","1",142,648,FALSE
"7-hydroxy-10-methoxy-3-methyl-3h-benzo[f]chromene-8-carboxylic acid","1",92,133,FALSE
"W-Cycloheptyl-A-Hydroxyundecanoic Acid","5",143,785,FALSE
"Lactarinic acid","1",193,395.5,FALSE
"Khrinone A","5",139,1258,FALSE
"Kaempferide","5",172,2480.5,FALSE
"2-methyl-4-oxo-heptadecanoic acid","2",246,1575.5,FALSE
"(E)-1-(2-hydroxy-4,6-dimethoxyphenyl)-3-(3-hydroxyphenyl)prop-2-en-1-one","5",236,840.5,FALSE
"Galiellalactone","2",12,76,FALSE
"racemosalactone B","2",271,1081.5,FALSE
"octadeca-9,12-dienoyl chloride","3",200,1144,FALSE
"3-[3-(3,7-dimethylocta-2,6-dien-1-yl)-4-hydroxyphenyl]prop-2-enoic acid","1",154,871,FALSE
"Harzianone D","5",251,771.5,FALSE
"Berkeleylactone F","1",213,1067.5,FALSE
"roccellic acid","5",259,1636.5,FALSE
"3-methyl-hexadecanedioic acid","2",226,4645,FALSE
"methyltrienolone","1",70,6402,FALSE
"DL-6-hydroxy stearic acid","1",286,1489,FALSE
"Crooksidine","4",174,233.5,FALSE
"DL-2-hydroxy stearic acid","4",211,1367.83333333333,FALSE
"Homoeriodictyol","4",216,888,FALSE
"3-keto stearic acid","4",147,1419,FALSE
"Sternbin","2",227,480,FALSE
"10-hydroxy-hexadecan-1,16-dioic acid","1",209,700,FALSE
"DL-7-hydroxy stearic acid","1",168,1125.5,FALSE
"Haematoxylin","4",198,1071,FALSE
"2-[(2R,8S,8aR)-8,8a-dimethyl-2,3,5,6,7,8-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid","3",65,300,FALSE
"Melimessanol A","3",250,588,FALSE
"(3r,3ar,4r,6s)-3-(furan-3-yl)-6-hydroxy-3a,7-dimethyl-1-oxo-3,4,5,6-tetrahydro-2-benzofuran-4-yl acetate","4",221,2504,FALSE
"(5S,8R,9R,10S)-(-)-8-hydroxy-7,8-seco-cassa-13,15-dien-7-oic acid epsilon+","1",254,1457,FALSE
"3-hydroxy-6-methylheptadecanoic acid","5",245,396.5,FALSE
"3-hydroxy-16-methyl-heptadecanoic acid","2",213,2484.5,FALSE
"1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-3,7,10-trioxapentacyclo[6.4.1.1,.0,.0,]tetradecane-6,11-dione","2",232,2012.5,FALSE
"1,3a-dihydroxy-6,6,9a-trimethyl-1h,3h,5ah,7h,8h,9h,9bh-naphtho[1,2-c]furan-9-yl acetate","2",247,2689.83333333333,FALSE
"Peniamidone B","1",10,9,FALSE
"FA 18:4+2O","5",251,978.5,FALSE
"5-(2R-hydroxy-tridecyl)resorcinol","2",287,1511.5,FALSE
"10-methoxyheptadeca-4,6-diyne-3,8,9-triol","5",278,1408,FALSE
"Ruscopine","3",221,498.5,FALSE
"Penisporolide B","4",211,3370.5,FALSE
"moniliphenone","1",200,1415,FALSE
"3',4'-Dimethoxy-7-hydroxyflavone","3",269,1375,FALSE
"Pongapinnol C","4",159,1070,FALSE
"Gallicynoic acid D","1",220,1593,FALSE
"2,3-Dihydro-2,3-dihydroxy-9-(4-hydroxyphenyl)-1H-phenalen-1-one","1",165,1177.33333333333,FALSE
"Dihydroalbocycline","5",268,1410.5,FALSE
"9-hydroxy-10-oxo-12-octadecenoic acid","5",264,1514.5,FALSE
"Norgestrel","2",49,760,FALSE
"Gnaphaliin","2",211,2970.5,FALSE
"Ochrolic acid","2",210,2207,FALSE
"5S,18-diHODE","1",239,974,FALSE
"4-O-methylneoilludin A","1",225,937,FALSE
"2-(5-((2Z,5Z,8Z,11Z)-tetradeca-2,5,8,11-tetraen-1-yl)furan-2-yl)-ethanoic acid","5",242,2009.5,FALSE
"Dihydroquinamine","1",217,904,FALSE
"phyllanflexoid B","4",197,744,FALSE
"Ptychonolide","4",192,2210,FALSE
"O-Acetylgeibalansine","1",65,947.5,FALSE
"9-Hydroxy-10-ketooctadecanoic acid","1",232,3262,FALSE
"10-Hydroxy-9-ketooctadecanoic acid","1",188,1503,FALSE
"Endocrocin","2",203,1437,FALSE
"9,12-dihydroxy stearic acid","1",185,227.5,FALSE
"Gardenin A","5",258,1275,FALSE
"Gibberellin A103","4",117,335,FALSE
"2beta-Hydroxyjatropholone","3",229,1754.5,FALSE
"3-[(1r,4r,5r,6r,8s,9s)-9-(hydroxymethyl)-5-methyl-4-(prop-1-en-2-yl)tricyclo[6.2.2.0,]dodecan-5-yl]propanoic acid","1",212,2003.33333333333,FALSE
"7,8-Dihydroxy-1-Methoxy-3-Methyl-10-Oxo-1H-Pyrano[4,3-B]Chromene-9-Carboxylic Acid","1",212,678.5,FALSE
"6,12-dimethyl-14-oxapentacyclo[10.3.3.1,.0,.0,]nonadecane-6,15-diol","5",216,5621.5,FALSE
"3-{4-hydroxy-3-[4-hydroxy-3-(4-methylpent-3-en-1-yl)but-2-en-1-yl]phenyl}prop-2-enoic acid","4",209,1130.16666666667,FALSE
